domain,group,cell,n,n_correct,method,selector_type,actuator,geometry_id,lambda,trust_factor,auroc,auprc,delta_vs_iu_pp,family_nrm_delta_pp
processbench_llama,gsm8k,llama31_8b__gsm8k,400,193,label_free_cross,intrinsic_label_free_geometry_matched_cross_actuator,cross,residual_adaptive_k7,,0.5,0.780456058671873,0.7404522184644067,0.6958524192135274,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,400,193,supervised_one_se_cross,supervised_donor_label_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.792896297965007,0.7630961078160864,1.9398763485269366,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,400,193,supervised_max_mean_cross,supervised_donor_label_sensitivity_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.792896297965007,0.7630961078160864,1.9398763485269366,2.643237966508971
processbench_llama,math,llama31_8b__math,1000,406,iu,baseline,none,none,,,0.7864440795475278,0.6965289685739393,0.0,0.7248179661972665
processbench_llama,math,llama31_8b__math,1000,406,canonical,frozen_canonical,full,residual_union_k7,0.03,0.5,0.7904579456303594,0.702939641046591,0.40138660828316075,0.7248179661972665
processbench_llama,math,llama31_8b__math,1000,406,label_free,intrinsic_label_free_geometry,full,residual_adaptive_k7,0.03,0.5,0.7908560149939461,0.7031835499258894,0.4411935446418269,0.7248179661972665
processbench_llama,math,llama31_8b__math,1000,406,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.7908352822145924,0.7090382268196269,0.43912026670646087,0.7248179661972665
processbench_llama,math,llama31_8b__math,1000,406,supervised_max_mean,supervised_donor_label_sensitivity,full,contribution_union_k7,3.0,1.0,0.7927302582474995,0.7111136408279781,0.6286178699971723,0.7248179661972665
processbench_llama,math,llama31_8b__math,1000,406,canonical_cross,frozen_canonical_matched_cross_actuator,cross,residual_union_k7,,0.5,0.7904994111890663,0.7030115587598784,0.40553316415384844,0.7248179661972665
processbench_llama,math,llama31_8b__math,1000,406,label_free_cross,intrinsic_label_free_geometry_matched_cross_actuator,cross,residual_adaptive_k7,,0.5,0.790843575326334,0.703158631187199,0.43994957788061617,0.7248179661972665
processbench_llama,math,llama31_8b__math,1000,406,supervised_one_se_cross,supervised_donor_label_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.7901593936076693,0.7079916207884249,0.37153140601414725,0.7248179661972665
processbench_llama,math,llama31_8b__math,1000,406,supervised_max_mean_cross,supervised_donor_label_sensitivity_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.7901593936076693,0.7079916207884249,0.37153140601414725,0.7248179661972665
processbench_llama,olympiadbench,llama31_8b__olympiadbench,1000,339,iu,baseline,none,none,,,0.7513198470182391,0.6155091914169705,0.0,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,1000,339,canonical,frozen_canonical,full,residual_union_k7,0.03,0.5,0.7573266571164634,0.6224780310795692,0.6006810098224347,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,1000,339,label_free,intrinsic_label_free_geometry,full,residual_adaptive_k7,0.03,0.5,0.7587859638788107,0.6239278495837861,0.7466116860571637,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,1000,339,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.7648731027896412,0.627001974642015,1.3553255771402095,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,1000,339,supervised_max_mean,supervised_donor_label_sensitivity,full,contribution_union_k7,3.0,1.0,0.7660066315897518,0.6277701997853926,1.4686784571512734,1.4543977793545992
processbench_llama,olympiadbench,llama31_8b__olympiadbench,1000,339,canonical_cross,frozen_canonical_matched_cross_actuator,cross,residual_union_k7,,0.5,0.7572731045747259,0.6224977606295825,0.5953257556486791,1.4543977793545992
