acc_correct,acc_erroneous,cal_f1,f1,method,model,sla,sla_tol1,split_index,subset,tau
0.7526881720430108,0.18691588785046728,0.34863157894736846,0.2994652406417112,global_dufs__local_iu_core,qwen3_4b,0.18691588785046728,0.411214953271028,46,gsm8k,-0.03537568467466615
0.336734693877551,0.2549019607843137,0.3326732673267327,0.2901589448765641,global_dufs__local_iu_core,qwen3_4b,0.2549019607843137,0.5588235294117647,47,gsm8k,-0.2721803882990971
0.6597938144329897,0.24271844660194175,0.3089887640449438,0.35488521681268714,global_dufs__local_iu_core,qwen3_4b,0.24271844660194175,0.5339805825242718,48,gsm8k,-0.13935738369986822
0.66,0.21,0.3445549028468143,0.31862068965517243,global_dufs__local_iu_core,qwen3_4b,0.21,0.44,49,gsm8k,-0.09570165865533728
0.6792452830188679,0.19148936170212766,0.35602820483181136,0.2987551867219917,global_dufs__local_iu_core,qwen3_4b,0.19148936170212766,0.4574468085106383,50,gsm8k,-0.09570165865533728
0.7326732673267327,0.1414141414141414,0.39392728725529363,0.23707093821510297,global_dufs__local_iu_core,qwen3_4b,0.1414141414141414,0.3939393939393939,51,gsm8k,-0.033997887929255566
0.4339622641509434,0.19148936170212766,0.37026647966339415,0.26572528883183566,global_dufs__local_iu_core,qwen3_4b,0.19148936170212766,0.46808510638297873,52,gsm8k,-0.2274570906869885
0.6057692307692307,0.21875,0.34301640047164755,0.3214285714285714,global_dufs__local_iu_core,qwen3_4b,0.21875,0.4479166666666667,53,gsm8k,-0.09460485294992675
0.7157894736842105,0.21904761904761905,0.31899468342194304,0.33544235924932975,global_dufs__local_iu_core,qwen3_4b,0.21904761904761905,0.4380952380952381,54,gsm8k,-0.08398723354020751
0.7722772277227723,0.20202020202020202,0.3328785811732606,0.3202627797166906,global_dufs__local_iu_core,qwen3_4b,0.20202020202020202,0.42424242424242425,55,gsm8k,-0.050389683931621326
0.3,0.24,0.35150665732305536,0.2666666666666666,global_dufs__local_iu_core,qwen3_4b,0.24,0.5,56,gsm8k,-0.2975808514676882
0.723404255319149,0.1320754716981132,0.3951990632318501,0.2233693101830127,global_dufs__local_iu_core,qwen3_4b,0.1320754716981132,0.33962264150943394,57,gsm8k,-0.026605383792637216
0.7475728155339806,0.20618556701030927,0.3314031180400891,0.32322384300556195,global_dufs__local_iu_core,qwen3_4b,0.20618556701030927,0.4020618556701031,58,gsm8k,-0.0511569169019435
0.42574257425742573,0.26262626262626265,0.30246575342465754,0.3248583466511695,global_dufs__local_iu_core,qwen3_4b,0.26262626262626265,0.494949494949495,59,gsm8k,-0.21391869441075612
0.46,0.31,0.2696629213483146,0.3703896103896104,global_dufs__local_iu_core,qwen3_4b,0.31,0.54,60,gsm8k,-0.22468088111464452
0.7608695652173914,0.16666666666666666,0.3794015015332558,0.2734375,global_dufs__local_iu_core,qwen3_4b,0.16666666666666666,0.4351851851851852,61,gsm8k,-0.050389683931621326
0.53125,0.25961538461538464,0.2977667493796526,0.34878419452887544,global_dufs__local_iu_core,qwen3_4b,0.25961538461538464,0.5769230769230769,62,gsm8k,-0.22468088111464452
0.7472527472527473,0.1926605504587156,0.3510318142734308,0.30633916121420146,global_dufs__local_iu_core,qwen3_4b,0.1926605504587156,0.42201834862385323,63,gsm8k,-0.0511569169019435
0.37209302325581395,0.22807017543859648,0.36216284665062676,0.2828008157715839,global_dufs__local_iu_core,qwen3_4b,0.22807017543859648,0.5526315789473685,64,gsm8k,-0.23977782743118037
0.7551020408163265,0.1568627450980392,0.36932578486875967,0.25976305397103994,global_dufs__local_iu_core,qwen3_4b,0.1568627450980392,0.37254901960784315,65,gsm8k,-0.029609876656109785
0.45348837209302323,0.2807017543859649,0.2926683589667015,0.3467629897193665,global_dufs__local_iu_core,qwen3_4b,0.2807017543859649,0.5614035087719298,66,gsm8k,-0.23577434261695682
0.4827586206896552,0.24778761061946902,0.3176978417266187,0.32748538011695905,global_dufs__local_iu_core,qwen3_4b,0.24778761061946902,0.5132743362831859,67,gsm8k,-0.2267788947986009
0.6421052631578947,0.18095238095238095,0.37505773672055426,0.2823386114494519,global_dufs__local_iu_core,qwen3_4b,0.18095238095238095,0.5142857142857142,68,gsm8k,-0.13739495976852653
0.41935483870967744,0.27102803738317754,0.3130555555555556,0.3292576419213974,global_dufs__local_iu_core,qwen3_4b,0.27102803738317754,0.5700934579439252,69,gsm8k,-0.2355744662936963
0.7127659574468085,0.19811320754716982,0.3272168118913378,0.31004847950639053,global_dufs__local_iu_core,qwen3_4b,0.19811320754716982,0.41509433962264153,70,gsm8k,-0.029265287531749992
0.5842696629213483,0.13513513513513514,0.43934426229508194,0.21950189953566906,global_dufs__local_iu_core,qwen3_4b,0.13513513513513514,0.4594594594594595,71,gsm8k,-0.13739495976852653
0.6896551724137931,0.1592920353982301,0.395829310677737,0.2588066139468009,global_dufs__local_iu_core,qwen3_4b,0.1592920353982301,0.3805309734513274,72,gsm8k,-0.03537568467466615
0.6559139784946236,0.205607476635514,0.3493975903614458,0.31307593607838563,global_dufs__local_iu_core,qwen3_4b,0.205607476635514,0.4392523364485981,73,gsm8k,-0.13739495976852653
0.6344086021505376,0.2523364485981308,0.29701149425287354,0.3610607434270172,global_dufs__local_iu_core,qwen3_4b,0.2523364485981308,0.5327102803738317,74,gsm8k,-0.09460485294992675
0.6836734693877551,0.22549019607843138,0.3252799057159694,0.33912852112676056,global_dufs__local_iu_core,qwen3_4b,0.22549019607843138,0.49019607843137253,75,gsm8k,-0.09716522010786527
0.6804123711340206,0.1941747572815534,0.3588235294117647,0.30212863355458913,global_dufs__local_iu_core,qwen3_4b,0.1941747572815534,0.4563106796116505,76,gsm8k,-0.09716522010786527
0.5957446808510638,0.22641509433962265,0.3354166666666667,0.328125,global_dufs__local_iu_core,qwen3_4b,0.22641509433962265,0.46226415094339623,77,gsm8k,-0.13902321213063068
0.3010752688172043,0.308411214953271,0.29723076923076924,0.30469909315746085,global_dufs__local_iu_core,qwen3_4b,0.308411214953271,0.5514018691588785,78,gsm8k,-0.29257626139021764
