source,group,budget,reference,candidate,n_units,mean_delta,median_delta,ci95_low,ci95_high,wins,losses,catastrophic_losses_5pp
real,all,40,upcr,anchored_pcr2,24,-0.001010675009535227,-0.0014381561794160613,-0.0031079056685222096,0.0015248922131507131,7,17,0
real,QA,40,upcr,anchored_pcr2,9,-0.0007305315992078226,-0.0009507181603460868,-0.004126340827206205,0.0028631793918678706,4,5,0
real,math,40,upcr,anchored_pcr2,15,-0.0011787610557316697,-0.0021943176052764413,-0.003562981796024543,0.0022686525441893827,3,12,0
synthetic,independent,40,upcr,anchored_pcr2,40,-0.00036644330814643576,-0.00022410351990398425,-0.0006670098831737072,-9.120861134938646e-05,15,25,0
synthetic,grouped,40,upcr,anchored_pcr2,40,0.004253280966419368,0.003468498373596973,0.002538879653401316,0.006065196936690838,35,5,0
synthetic,sparse_pairs,40,upcr,anchored_pcr2,40,0.0032768426163506973,0.003912628511682725,0.0016062382407736686,0.004750289499002544,33,6,0
synthetic,correlated_weak_block,40,upcr,anchored_pcr2,40,0.4130799095484775,0.4158327286718543,0.4018855583137257,0.4229699154037758,40,0,0
real,all,40,upcr,anchored_pcr6,24,-0.0024500056106858126,-0.0032806893386097546,-0.007185947906835652,0.0025494949342780024,10,14,0
real,QA,40,upcr,anchored_pcr6,9,-0.007737394527195968,-0.008099575205580023,-0.014724769053189226,-0.0004181027741955426,2,7,0
real,math,40,upcr,anchored_pcr6,15,0.0007224277392202809,0.00048576702613434275,-0.004796957343798439,0.006825568793980188,8,7,0
synthetic,independent,40,upcr,anchored_pcr6,40,-0.003530061736767132,-0.0034004393639070485,-0.00461668078405953,-0.0025718213296464453,6,34,0
synthetic,grouped,40,upcr,anchored_pcr6,40,0.0023514222836827107,0.003791682691942133,-0.0011301484630150574,0.005721136401487232,24,16,0
synthetic,sparse_pairs,40,upcr,anchored_pcr6,40,0.01217552667296708,0.011567178476002804,0.009858550783762668,0.014485851051124843,38,2,0
synthetic,correlated_weak_block,40,upcr,anchored_pcr6,40,0.41326997859545267,0.41191991295156577,0.40536107479844946,0.4211001145576302,40,0,0
real,all,40,gold_ridge_all,anchored_pcr6,24,0.05724903012768634,0.05000417967127907,0.04598274187210882,0.07123147862685696,24,0,0
real,QA,40,gold_ridge_all,anchored_pcr6,9,0.0673984393268921,0.04995689359815736,0.04495068362111975,0.09768671001112261,9,0,0
real,math,40,gold_ridge_all,anchored_pcr6,15,0.051159384608162876,0.05005146574440078,0.04117883267444129,0.06193183975932058,15,0,0
synthetic,independent,40,gold_ridge_all,anchored_pcr6,40,0.015104702501705522,0.012330294138391984,0.01218409939560219,0.018533335778699922,40,0,0
synthetic,grouped,40,gold_ridge_all,anchored_pcr6,40,0.03402979832489998,0.029300752125974994,0.02769700793431113,0.04047486471086921,39,1,0
synthetic,sparse_pairs,40,gold_ridge_all,anchored_pcr6,40,0.023366612602169618,0.02320175413233111,0.019235958722547578,0.027769447065560223,39,1,0
synthetic,correlated_weak_block,40,gold_ridge_all,anchored_pcr6,40,-0.036620752517808206,-0.035894378106009706,-0.04320379791129793,-0.03001803319741877,0,40,10
real,all,40,anchored_pcr6,pseudo_gold_pcr6,24,-0.031050682998344487,-0.027055227738946475,-0.039334421663620424,-0.02451846896329655,0,24,2
real,QA,40,anchored_pcr6,pseudo_gold_pcr6,9,-0.03627458366580237,-0.027792632204396872,-0.05585350270073794,-0.02311615192478627,0,9,1
real,math,40,anchored_pcr6,pseudo_gold_pcr6,15,-0.027916342597869754,-0.026317823273496077,-0.03459720775581346,-0.02226432651481675,0,15,1
synthetic,independent,40,anchored_pcr6,pseudo_gold_pcr6,40,-0.00493249544199485,-0.0036818696877765067,-0.006363092539293632,-0.0036773155081490758,1,39,0
synthetic,grouped,40,anchored_pcr6,pseudo_gold_pcr6,40,-0.014245571402285153,-0.00937230338552325,-0.01904383527821377,-0.009956187323521163,3,37,1
synthetic,sparse_pairs,40,anchored_pcr6,pseudo_gold_pcr6,40,-0.004605799097609303,-0.0036315454501539834,-0.006671280693055973,-0.0029499251188858685,8,32,0
synthetic,correlated_weak_block,40,anchored_pcr6,pseudo_gold_pcr6,40,0.03316938031976559,0.03378043888478033,0.027499824866968614,0.038951109729982385,40,0,0
real,all,40,gold_pcr6,anchored_pcr6,24,0.05974213023402173,0.0500815614086173,0.0454818965539664,0.07846589807003601,24,0,0
real,QA,40,gold_pcr6,anchored_pcr6,9,0.06783752549750895,0.05135918003565054,0.040710978888965875,0.10885226082831602,9,0,0
real,math,40,gold_pcr6,anchored_pcr6,15,0.0548848930759294,0.048803942781584064,0.04233447221204404,0.07116381827091067,15,0,0
synthetic,independent,40,gold_pcr6,anchored_pcr6,40,0.008510570124596453,0.006564975224227165,0.006394046380483346,0.010800280452242936,40,0,0
synthetic,grouped,40,gold_pcr6,anchored_pcr6,40,0.02504026619399676,0.018552864328371832,0.018123995575442767,0.03266408507588156,39,1,0
synthetic,sparse_pairs,40,gold_pcr6,anchored_pcr6,40,0.012364177857171203,0.010790832054648647,0.008839981982760396,0.01618261224181898,36,4,0
synthetic,correlated_weak_block,40,gold_pcr6,anchored_pcr6,40,-0.036176688221651605,-0.03561652474758209,-0.042853678184318796,-0.029605958161263834,0,40,10
real,all,80,upcr,anchored_pcr2,24,-0.0002637397824117593,-0.0012831354929315197,-0.002439609272187714,0.0021772905997209514,9,15,0
real,QA,80,upcr,anchored_pcr2,9,0.0003687802984818757,-0.0008957022393851766,-0.003701273969470003,0.004463514519978027,4,5,0
real,math,80,upcr,anchored_pcr2,15,-0.0006432518309479403,-0.0015965439519162183,-0.003026074102827825,0.002579723743839427,5,10,0
