source,panel,budget,method,n_units,mean_auc,ci95_low,ci95_high
synthetic,sparse_pairs,10,gold_pcr6,40,0.8695771040836305,0.8477538103684563,0.8895238375101097
synthetic,sparse_pairs,10,gold_ridge_all,40,0.8781059795194445,0.8603392809441087,0.8944538820829747
synthetic,sparse_pairs,10,anchored_pcr2,40,0.9584411025576431,0.9565131205214377,0.9604177785214595
synthetic,sparse_pairs,10,anchored_pcr6,40,0.9605240707431666,0.9577586617690926,0.9631377315164538
synthetic,sparse_pairs,10,pseudo_gold_pcr6,40,0.9438074788346775,0.9364498138776438,0.9502850607732457
synthetic,sparse_pairs,20,upcr,40,0.9562812021366831,0.9543607259143365,0.9582559581799945
synthetic,sparse_pairs,20,platt_upcr,40,0.9562812021366831,0.9543604572566043,0.9582816597828389
synthetic,sparse_pairs,20,gold_pcr2,40,0.953233461597144,0.9496243891956735,0.9566911156240244
synthetic,sparse_pairs,20,gold_pcr6,40,0.927268261711934,0.9167116349317036,0.9365903272980413
synthetic,sparse_pairs,20,gold_ridge_all,40,0.9210669378845765,0.9104577423285378,0.9312849528728985
synthetic,sparse_pairs,20,anchored_pcr2,40,0.9588274950373442,0.9565102512103534,0.9610510079378192
synthetic,sparse_pairs,20,anchored_pcr6,40,0.9642213979152403,0.962007500756907,0.9663379903623353
synthetic,sparse_pairs,20,pseudo_gold_pcr6,40,0.9547194106933745,0.95052721536452,0.9587019680211765
synthetic,sparse_pairs,40,upcr,40,0.9562812021366831,0.9542916206342629,0.9582809143766902
synthetic,sparse_pairs,40,platt_upcr,40,0.9562812021366831,0.9543418359801279,0.9582728041682428
synthetic,sparse_pairs,40,gold_pcr2,40,0.9583067015325643,0.9558787276676515,0.9608121821414054
synthetic,sparse_pairs,40,gold_pcr6,40,0.9560925509524789,0.9517519074167373,0.9600854826912908
synthetic,sparse_pairs,40,gold_ridge_all,40,0.9450901162074805,0.9403663377339521,0.949771558431779
synthetic,sparse_pairs,40,anchored_pcr2,40,0.9595580447530339,0.9574277360997034,0.9616144509737051
synthetic,sparse_pairs,40,anchored_pcr6,40,0.9684567288096503,0.9661528145218716,0.9706943886269298
synthetic,sparse_pairs,40,pseudo_gold_pcr6,40,0.9638509297120408,0.9605676712002879,0.9669686229540163
synthetic,sparse_pairs,80,upcr,40,0.9562812021366831,0.9543892348110495,0.9582902781611571
synthetic,sparse_pairs,80,platt_upcr,40,0.9562812021366831,0.95431739544882,0.9581891316676419
synthetic,sparse_pairs,80,gold_pcr2,40,0.9587091549171042,0.9566615165249855,0.960751580764747
synthetic,sparse_pairs,80,gold_pcr6,40,0.9642450055010974,0.9620639849215145,0.9662877528315402
synthetic,sparse_pairs,80,gold_ridge_all,40,0.957493614667705,0.9537512101032307,0.9610645517834087
synthetic,sparse_pairs,80,anchored_pcr2,40,0.9604363267641947,0.9586443854937948,0.9622299322249303
synthetic,sparse_pairs,80,anchored_pcr6,40,0.9704471891011934,0.9683718374271966,0.9724004243583045
synthetic,sparse_pairs,80,pseudo_gold_pcr6,40,0.9692962742329658,0.9671031833499668,0.9713861703352028
synthetic,correlated_weak_block,0,upcr,40,0.5488727133699334,0.542885338276711,0.554953281625268
synthetic,correlated_weak_block,0,platt_upcr,40,0.5488727133699334,0.5429122714852012,0.5548109609485604
synthetic,correlated_weak_block,0,anchored_pcr2,40,0.5488727133699334,0.5428990306777741,0.5548633745508492
synthetic,correlated_weak_block,0,anchored_pcr6,40,0.5488727133699334,0.5427655136005894,0.5546907379455431
synthetic,correlated_weak_block,0,pseudo_gold_pcr6,40,0.5488727133699334,0.5428395695634949,0.5547990076825319
synthetic,correlated_weak_block,5,upcr,40,0.5488727133699334,0.5429171084867404,0.5547782799955161
synthetic,correlated_weak_block,5,platt_upcr,40,0.5488727133699334,0.5428406179742657,0.5547836812444863
synthetic,correlated_weak_block,5,gold_pcr2,40,0.9874387476683146,0.9813195552747983,0.9927985354522012
synthetic,correlated_weak_block,5,gold_pcr6,40,0.9158715795067671,0.8996583220541711,0.931583552636456
synthetic,correlated_weak_block,5,gold_ridge_all,40,0.9599939627013967,0.9445731967209197,0.9737440786065522
synthetic,correlated_weak_block,5,anchored_pcr2,40,0.6519612695386459,0.6402020424555939,0.6642766916847747
synthetic,correlated_weak_block,5,anchored_pcr6,40,0.6469333750146536,0.6366243226160935,0.6575839360272835
synthetic,correlated_weak_block,5,pseudo_gold_pcr6,40,0.8116770682783576,0.7903765788326788,0.8332671812541782
synthetic,correlated_weak_block,10,upcr,40,0.5488727133699334,0.5429553188944597,0.554696673458985
synthetic,correlated_weak_block,10,platt_upcr,40,0.5488727133699334,0.5427474163311536,0.5548661668178017
synthetic,correlated_weak_block,10,gold_pcr2,40,0.9984627193914724,0.9979638842289382,0.9988905186653954
synthetic,correlated_weak_block,10,gold_pcr6,40,0.9707566054788821,0.9621459500320779,0.9784282001035718
synthetic,correlated_weak_block,10,gold_ridge_all,40,0.9945816190234748,0.9922675888948115,0.9965196365962492
synthetic,correlated_weak_block,10,anchored_pcr2,40,0.7390217823874647,0.7234185192471745,0.7551676020428547
synthetic,correlated_weak_block,10,anchored_pcr6,40,0.7309242992898553,0.7154866242073368,0.7465469018364398
synthetic,correlated_weak_block,10,pseudo_gold_pcr6,40,0.9088860719469978,0.889128015904423,0.9280969599816149
synthetic,correlated_weak_block,20,upcr,40,0.5488727133699334,0.5428280127421633,0.5548817070132365
synthetic,correlated_weak_block,20,platt_upcr,40,0.5488727133699334,0.5428162017761811,0.5548151815324586
synthetic,correlated_weak_block,20,gold_pcr2,40,0.9987363065467445,0.9983415466320239,0.9990642625242402
synthetic,correlated_weak_block,20,gold_pcr6,40,0.9948780200933335,0.9930979638862221,0.9964331897494824
