uid,cell,group_id,category,tokens,steps,first_error_step,error_start,error_stop,gate_percentile,log2_tokens,error_start_fraction,error_step_fraction,feature_change_l2,predictor_disagreement,mean_signed_residual
pb_math_q8__740e9b838263959f,pb_math_q8,pb_source_v2:75134cef63aabe6e9368966d,1,536,8,3,191,235,0.8765,9.066089190457772,0.35634328358208955,0.08208955223880597,1.6597217730922498,0.27434314335305215,0.3093926762529326
pb_math_q8__d946e905d947c347,pb_math_q8,pb_source_v2:41241be7dc0288cef5ad061a,1,635,10,1,0,117,0.7045,9.310612781659529,0.0,0.18425196850393702,,0.20960179690556266,0.03653208533573575
pb_math_q8__19db3806d960004d,pb_math_q8,pb_source_v2:adba88aa55399f504d569edb,0,327,4,3,164,270,0.3475,8.353146825498083,0.5015290519877675,0.3241590214067278,2.2390430178336884,0.2798898712749149,0.06754601131156435
pb_math_q8__0dcbca9009df3b48,pb_math_q8,pb_source_v2:c53add4156738b25354337db,0,559,5,3,263,431,0.8895,9.12670447284319,0.47048300536672627,0.3005366726296959,0.4136883710953224,0.28552785325278407,0.03740202133201142
pb_math_q8__541d4e9d8fad3f92,pb_math_q8,pb_source_v2:7cc0d36a89159a834ad895a1,1,200,4,3,147,189,0.3675,7.643856189774724,0.735,0.21,1.1921353901564788,0.25955304633076387,0.28337342293414014
pb_math_q8__8a065558a01aa0a0,pb_math_q8,pb_source_v2:8a598f083f5b7523a95ed01c,1,705,10,2,50,218,0.4545,9.461479447286155,0.07092198581560284,0.23829787234042554,2.6590216902635775,0.23687331744347398,-0.04186001844894445
pb_math_q8__c92056246d138fb6,pb_math_q8,pb_source_v2:18e428a0bda6dcbccdb18700,1,480,5,4,303,418,0.8755,8.906890595608518,0.63125,0.23958333333333334,2.458422540616989,0.25152717082130394,-0.0029100275681665884
pb_math_q8__248d962c7ff115b6,pb_math_q8,pb_source_v2:0b7036ebe3423f4237f6f15c,0,638,10,2,32,130,0.7765,9.31741261376487,0.050156739811912224,0.1536050156739812,1.8167787975840477,0.23471641020710762,0.14275039009547974
pb_math_q8__0c5be8b26b71192e,pb_math_q8,pb_source_v2:b5d737b47583ec698d60c2df,0,615,5,1,0,171,0.4055,9.264442600226602,0.0,0.2780487804878049,,0.32319460344863277,0.07033555523738967
pb_math_q8__4abd33a1109a269f,pb_math_q8,pb_source_v2:cd5339e4206f5e100b3bd6ec,0,493,5,1,0,167,0.6615,8.945443836377912,0.0,0.33874239350912777,,0.28308439939139185,-0.027299499175086926
pb_math_q8__b15b5b87bfe9d0c2,pb_math_q8,pb_source_v2:5f75a40ee6e0cabf9998ec77,0,141,3,2,70,125,0.4565,7.139551352398794,0.49645390070921985,0.3900709219858156,1.50445053686207,0.27777065763100184,0.10704126243706678
pb_math_q8__5817766422d3f14d,pb_math_q8,pb_source_v2:5cba816c3731e761d330b19f,1,128,3,2,30,84,0.5595,7.0,0.234375,0.421875,0.4487222018300535,0.20491874094885837,-0.11911917843197839
pb_math_q8__db5a1ba5eac34284,pb_math_q8,pb_source_v2:dd9f0e04af9257e6d7cbfa8a,2,404,3,3,249,404,0.2675,8.658211482751796,0.6163366336633663,0.38366336633663367,3.3018519904900847,0.2585887224724882,0.02225272059537698
pb_math_q8__889980c119559241,pb_math_q8,pb_source_v2:36a186284efb4ad08d93cd93,2,230,3,2,77,172,0.1405,7.845490050944375,0.3347826086956522,0.41304347826086957,0.38722725947737524,0.2383919679994996,-0.010810258212138789
pb_math_q8__5c6bbadc40b1b122,pb_math_q8,pb_source_v2:41dc09e982dd62e877ba4fe2,1,1319,12,5,299,472,0.7995,10.365228849251544,0.2266868840030326,0.13115996967399546,0.37848598548507545,0.3100961304206533,0.004423448641539482
pb_math_q8__02b53e5b9f26f408,pb_math_q8,pb_source_v2:56f7e03086d83fda5696c68c,0,352,3,1,0,265,0.9225,8.459431618637296,0.0,0.7528409090909091,,0.2532479558663007,0.03970446118652177
pb_math_q8__0321d565cc783b15,pb_math_q8,pb_source_v2:15a2276684142e31671691f4,0,334,8,2,79,132,0.6045,8.383704292474052,0.23652694610778444,0.15868263473053892,1.5002073325251286,0.23524945229515995,0.07249618482797929
pb_math_q8__bbe14130580b7f63,pb_math_q8,pb_source_v2:1b1c24cd2c530d39f1ef52e8,1,832,11,2,69,124,0.6775,9.700439718141093,0.0829326923076923,0.06610576923076923,5.05423953814176,0.3501008537212463,0.0754550603602077
pb_math_q8__884971eb0b43df04,pb_math_q8,pb_source_v2:0d843c634a680459202a2b36,0,489,5,2,60,195,0.8315,8.933690654952233,0.12269938650306748,0.27607361963190186,1.629905873631419,0.2643022295573748,0.002698965550543638
pb_math_q8__c8a111b0d0a01f2f,pb_math_q8,pb_source_v2:a66f48d8a8080875394a659e,1,373,4,2,93,168,0.7015,8.543031820255237,0.24932975871313673,0.20107238605898123,1.9942391957495595,0.2759619348049414,-0.011171066499324579
pb_math_q8__6e7322700051cefb,pb_math_q8,pb_source_v2:49d37bf42d2daf36b38f6fe2,0,421,7,6,371,405,0.6815,8.717676423066395,0.8812351543942993,0.08076009501187649,2.6661989025429285,0.36128652743528933,0.3014749838768304
pb_math_q8__f10b5994cedded30,pb_math_q8,pb_source_v2:53462de93c152d70abc530a7,0,297,6,4,173,232,0.4765,8.214319120800766,0.5824915824915825,0.19865319865319866,0.6743613256121431,0.2751673596954366,0.10964024347546777
pb_math_q8__6a6c2d2ccae7cb91,pb_math_q8,pb_source_v2:ff30fa25040f7a135ee19e17,0,557,8,1,0,169,0.4275,9.121533517340032,0.0,0.30341113105924594,,0.31544742287258093,0.008250151048222618
pb_math_q8__5a60730f646b8ead,pb_math_q8,pb_source_v2:aad99cb8fb400e7087c6dd6b,0,1133,11,8,699,838,0.9595,10.145932145820515,0.616946160635481,0.12268314210061783,3.1893178665923876,0.2996292991663558,0.14047222408594648
pb_math_q8__983e8c579e33b8b1,pb_math_q8,pb_source_v2:0faa86fbb810ee2fdc305134,0,267,4,2,75,156,0.7455,8.060695931687555,0.2808988764044944,0.30337078651685395,1.1262642473234528,0.27216245147416274,0.09804437775647815
pb_math_q8__431a00f2922c2ab0,pb_math_q8,pb_source_v2:eb24795310163565e8e55c43,1,479,8,4,255,297,0.3615,8.90388184573618,0.5323590814196242,0.08768267223382047,2.1026590137940917,0.38280938413880977,0.01660595218232958
pb_math_q8__6439b045c509891a,pb_math_q8,pb_source_v2:c9810e49878074637d312ed1,1,203,5,4,133,178,0.6055,7.6653359171851765,0.6551724137931034,0.22167487684729065,2.3019993944625057,0.24686209326632466,-0.16532824676876032
pb_math_q8__5d90865273091530,pb_math_q8,pb_source_v2:9b383bfa7749e8b42c1ffe65,1,445,7,2,86,135,0.6155,8.79766152585376,0.19325842696629214,0.1101123595505618,0.8452571615552111,0.21928940664076538,0.01872260428671782
pb_math_q8__7af5a34c54853035,pb_math_q8,pb_source_v2:e07414bba64cc046c7da5170,0,438,6,4,277,370,0.7825,8.774787059601174,0.632420091324201,0.21232876712328766,2.630300936389137,0.30579021643932613,0.17857050472008484
pb_math_q8__9887a361c00a888e,pb_math_q8,pb_source_v2:8ed4052a6d7f0b30c16850a9,0,458,5,3,212,332,0.5475,8.839203788096944,0.462882096069869,0.26200873362445415,3.620444926786664,0.2908583960794618,0.02823774689334755
