domain,cell_key,n,subset,method,n_feats,auroc,lo,hi,flipped
rag,Llama-8B/hotpotqa,93,ALL_H16,upcr,16,0.7818,0.6873,0.8712,False
rag,Llama-8B/natural-questions,121,consensus_4,lsml,4,0.5664,0.2829,0.8434,False
rag,Llama-8B/natural-questions,121,consensus_4,upcr,4,0.6538,0.4155,0.8586,False
rag,Llama-8B/natural-questions,121,GOOD_5,lsml,5,0.6338,0.3637,0.8672,False
rag,Llama-8B/natural-questions,121,GOOD_5,upcr,5,0.667,0.423,0.8845,False
rag,Llama-8B/natural-questions,121,STABLE_H9,lsml,9,0.6073,0.3985,0.7778,False
rag,Llama-8B/natural-questions,121,STABLE_H9,upcr,9,0.4126,0.181,0.686,False
rag,Llama-8B/natural-questions,121,ALL_H16,lsml,16,0.6272,0.4,0.8058,False
rag,Llama-8B/natural-questions,121,ALL_H16,upcr,16,0.5398,0.3069,0.7746,False
rag,Llama-8B/2wikimultihopqa,99,consensus_4,lsml,4,0.5135,0.3673,0.6501,False
rag,Llama-8B/2wikimultihopqa,99,consensus_4,upcr,4,0.5508,0.4164,0.6931,False
rag,Llama-8B/2wikimultihopqa,99,GOOD_5,lsml,5,0.5946,0.4567,0.738,False
rag,Llama-8B/2wikimultihopqa,99,GOOD_5,upcr,5,0.5822,0.4434,0.7195,False
rag,Llama-8B/2wikimultihopqa,99,STABLE_H9,lsml,9,0.5795,0.4408,0.7192,True
rag,Llama-8B/2wikimultihopqa,99,STABLE_H9,upcr,9,0.5892,0.4487,0.7268,False
rag,Llama-8B/2wikimultihopqa,99,ALL_H16,lsml,16,0.5584,0.4197,0.697,True
rag,Llama-8B/2wikimultihopqa,99,ALL_H16,upcr,16,0.5476,0.4112,0.6759,False
rag,Llama-8B/narrativeqa,459,consensus_4,lsml,4,0.528,0.4512,0.6047,True
rag,Llama-8B/narrativeqa,459,consensus_4,upcr,4,0.5472,0.4695,0.6189,False
rag,Llama-8B/narrativeqa,459,GOOD_5,lsml,5,0.5729,0.4965,0.6503,False
rag,Llama-8B/narrativeqa,459,GOOD_5,upcr,5,0.5841,0.5067,0.6584,False
rag,Llama-8B/narrativeqa,459,STABLE_H9,lsml,9,0.5828,0.5048,0.6612,True
rag,Llama-8B/narrativeqa,459,STABLE_H9,upcr,9,0.593,0.5171,0.6652,False
rag,Llama-8B/narrativeqa,459,ALL_H16,lsml,16,0.5502,0.4718,0.629,False
rag,Llama-8B/narrativeqa,459,ALL_H16,upcr,16,0.6121,0.5377,0.6847,False
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,52,consensus_4,lsml,4,0.96,0.8849,1.0,False
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,52,consensus_4,upcr,4,0.29,0.1373,0.46,True
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,52,GOOD_5,lsml,5,0.96,0.8627,1.0,False
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,52,GOOD_5,upcr,5,0.9,0.74,1.0,False
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,52,STABLE_H9,lsml,9,0.9,0.8021,0.9802,False
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,52,STABLE_H9,upcr,9,0.76,0.6029,0.9,False
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,52,ALL_H16,lsml,16,0.9,0.8,0.9796,True
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,52,ALL_H16,upcr,16,0.86,0.7143,0.9608,False
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,285,consensus_4,lsml,4,0.608,0.5356,0.6845,False
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,285,consensus_4,upcr,4,0.565,0.496,0.6372,False
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,285,GOOD_5,lsml,5,0.6549,0.585,0.7278,False
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,285,GOOD_5,upcr,5,0.6446,0.5722,0.7182,False
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,285,STABLE_H9,lsml,9,0.5877,0.5163,0.6627,False
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,285,STABLE_H9,upcr,9,0.6922,0.6207,0.7669,False
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,285,ALL_H16,lsml,16,0.5746,0.5034,0.6484,True
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,285,ALL_H16,upcr,16,0.594,0.5229,0.6682,False
qa,spectral_phase9_cache_webq_cot_traces_T1.0,290,consensus_4,lsml,4,0.638,0.5489,0.7298,False
qa,spectral_phase9_cache_webq_cot_traces_T1.0,290,consensus_4,upcr,4,0.594,0.4984,0.6935,False
qa,spectral_phase9_cache_webq_cot_traces_T1.0,290,GOOD_5,lsml,5,0.6359,0.5454,0.7271,False
qa,spectral_phase9_cache_webq_cot_traces_T1.0,290,GOOD_5,upcr,5,0.6464,0.556,0.737,False
qa,spectral_phase9_cache_webq_cot_traces_T1.0,290,STABLE_H9,lsml,9,0.5754,0.4776,0.6653,True
qa,spectral_phase9_cache_webq_cot_traces_T1.0,290,STABLE_H9,upcr,9,0.655,0.5648,0.7453,False
qa,spectral_phase9_cache_webq_cot_traces_T1.0,290,ALL_H16,lsml,16,0.6212,0.5309,0.7107,True
qa,spectral_phase9_cache_webq_cot_traces_T1.0,290,ALL_H16,upcr,16,0.58,0.4745,0.6836,False
