domain,cell,size,n_subsets,max,p5,p25,p50,p75,p95
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,16,1,0.5746,0.5746,0.5746,0.5746,0.5746,0.5746
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,3,364,1.0,0.19,0.57,0.77,0.9,0.96
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,4,1001,1.0,0.16,0.52,0.76,0.92,0.96
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,5,2002,1.0,0.1605,0.54,0.78,0.92,0.96
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,6,3003,1.0,0.15,0.56,0.8,0.93,0.96
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,7,3432,0.99,0.18,0.6,0.835,0.93,0.96
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,8,3003,1.0,0.18,0.63,0.85,0.93,0.96
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,9,2002,1.0,0.2,0.71,0.87,0.93,0.96
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,10,1001,1.0,0.2,0.77,0.88,0.93,0.96
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,11,364,0.96,0.26,0.82,0.89,0.93,0.95
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,12,91,0.96,0.51,0.875,0.9,0.92,0.94
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,13,14,0.93,0.81,0.88,0.9,0.9275,0.93
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,14,1,0.91,0.91,0.91,0.91,0.91,0.91
qa,spectral_phase9_cache_webq_cot_traces_T1.0,3,560,0.6728,0.4924,0.5381,0.5654,0.5993,0.6352
qa,spectral_phase9_cache_webq_cot_traces_T1.0,4,1820,0.6715,0.496,0.5463,0.5792,0.6046,0.6346
qa,spectral_phase9_cache_webq_cot_traces_T1.0,5,4368,0.6682,0.506,0.5595,0.5896,0.6098,0.6355
qa,spectral_phase9_cache_webq_cot_traces_T1.0,6,8008,0.6671,0.5134,0.5693,0.5937,0.6124,0.6353
qa,spectral_phase9_cache_webq_cot_traces_T1.0,7,11440,0.6616,0.5255,0.5751,0.5983,0.6149,0.6357
qa,spectral_phase9_cache_webq_cot_traces_T1.0,8,12870,0.6627,0.5358,0.58,0.6016,0.6175,0.6362
qa,spectral_phase9_cache_webq_cot_traces_T1.0,9,11440,0.6591,0.5447,0.5847,0.6046,0.6196,0.6362
qa,spectral_phase9_cache_webq_cot_traces_T1.0,10,8008,0.6582,0.5532,0.5884,0.6081,0.6214,0.6354
qa,spectral_phase9_cache_webq_cot_traces_T1.0,11,4368,0.6507,0.5609,0.591,0.61,0.6223,0.6347
qa,spectral_phase9_cache_webq_cot_traces_T1.0,12,1820,0.6502,0.5678,0.5944,0.612,0.6227,0.6332
qa,spectral_phase9_cache_webq_cot_traces_T1.0,13,560,0.6418,0.5743,0.5944,0.6128,0.6231,0.6315
