world,target,arm,lambda,n,auroc_mean,auroc_se,auroc_delta_mean,auroc_delta_se,auroc_delta_one_sided_95_lower
P1-B,g,direct_a,0.3,8,0.7578587962962963,0.008052505591866843,0.04639660493827159,0.0009012313591665752,0.04468915128695841
P1-B,g,direct_a,1.0,8,0.8080632716049383,0.008440480880531112,0.09660108024691363,0.002399519007829376,0.0920550028721733
P1-B,g,direct_g,0.0,8,0.7114621913580247,0.0074728401760983726,0.0,0.0,0.0
P1-B,g,direct_g,0.01,8,0.7090354938271604,0.007494111422242966,-0.0024266975308641914,7.513603020832761e-05,-0.002569048646168285
P1-B,g,direct_g,0.03,8,0.7041898148148148,0.007402065676646043,-0.007272376543209877,0.00015682899181808407,-0.007569501395766254
P1-B,g,direct_g,0.1,8,0.6893557098765433,0.007349789315986588,-0.02210648148148145,0.00045752055321216574,-0.02297329013298616
P1-B,g,direct_g,0.3,8,0.6566396604938272,0.006782607265566362,-0.05482253086419747,0.001064379400024334,-0.05683908130318211
P1-B,g,direct_g,1.0,8,0.6036111111111111,0.005949783873960612,-0.10785108024691356,0.002479509578479453,-0.11254870604541647
P1-B,g,g_to_a,0.0,8,0.7114621913580247,0.0074728401760983726,0.0,0.0,0.0
P1-B,g,g_to_a,0.01,8,0.7099652777777777,0.007463928700180753,-0.0014969135802469224,0.00044229282733110667,-0.0023348721080932054
P1-B,g,g_to_a,0.03,8,0.7069444444444444,0.007387956255353927,-0.004517746913580242,0.001326480198422129,-0.007030867917586354
P1-B,g,g_to_a,0.1,8,0.6975964506172839,0.008035889701824141,-0.013865740740740734,0.004069811942375704,-0.021576319373505543
P1-B,g,g_to_a,0.3,8,0.6766666666666667,0.011629303851917096,-0.03479552469135799,0.010218589897452541,-0.05415544648526045
P1-B,g,g_to_a,1.0,8,0.6436111111111111,0.020027356595248975,-0.06785108024691357,0.02000898977763768,-0.10575968418909054
P1-B,g,iu,0.0,8,0.7114621913580247,0.0074728401760983726,0.0,0.0,0.0
P1-B,g,iu,0.01,8,0.7114621913580247,0.0074728401760983726,0.0,0.0,0.0
P1-B,g,iu,0.03,8,0.7114621913580247,0.0074728401760983726,0.0,0.0,0.0
P1-B,g,iu,0.1,8,0.7114621913580247,0.0074728401760983726,0.0,0.0,0.0
P1-B,g,iu,0.3,8,0.7114621913580247,0.0074728401760983726,0.0,0.0,0.0
P1-B,g,iu,1.0,8,0.7114621913580247,0.0074728401760983726,0.0,0.0,0.0
P1-B,g,mmdufs_shared,0.0,8,0.7114621913580247,0.0074728401760983726,0.0,0.0,0.0
P1-B,g,mmdufs_shared,0.01,8,0.7116666666666667,0.007470183362631394,0.00020447530864201036,3.296297741248134e-05,0.00014202435687625807
P1-B,g,mmdufs_shared,0.03,8,0.7120331790123456,0.007495172938896963,0.0005709876543209813,6.974996481285604e-05,0.0004388408632807635
P1-B,g,mmdufs_shared,0.1,8,0.7134220679012345,0.007541234956809308,0.0019598765432098514,0.0002067144298012353,0.001568239807145051
P1-B,g,mmdufs_shared,0.3,8,0.7166126543209876,0.007568181365492171,0.005150462962962968,0.0004960075562394897,0.004210737658948653
P1-B,g,mmdufs_shared,1.0,8,0.7227546296296297,0.007563192165670652,0.011292438271604976,0.0010438964230533028,0.009314694442558204
P1-B,g,nuisance_only,0.0,8,0.7114621913580247,0.0074728401760983726,0.0,0.0,0.0
P1-B,g,nuisance_only,0.01,8,0.7087307098765432,0.007495660876870791,-0.0027314814814814875,8.228155911162338e-05,-0.002887370362967818
P1-B,g,nuisance_only,0.03,8,0.7033024691358025,0.007405641231975934,-0.008159722222222193,0.00015704577497721803,-0.00845725778751381
P1-B,g,nuisance_only,0.1,8,0.686485339506173,0.007295264706516723,-0.024976851851851778,0.0005616384480382287,-0.02604092003930096
P1-B,g,nuisance_only,0.3,8,0.6503973765432098,0.006672414068528702,-0.06106481481481481,0.0013118321361612003,-0.06355018391345534
P1-B,g,nuisance_only,1.0,8,0.5927777777777778,0.00573020595654258,-0.11868441358024687,0.002487133600687346,-0.12339648368810958
P1-B,g,oracle,0.0,8,0.7114621913580247,0.0074728401760983726,0.0,0.0,0.0
