world,target,arm,lambda,n,auroc_mean,auroc_se,auroc_delta_mean,auroc_delta_se,auroc_delta_one_sided_95_lower
P1-B,g,oracle,0.3,2,0.6839506172839507,0.004567901234567905,0.04777777777777786,0.00493827160493826,0.0165987579522222
P1-B,g,oracle,1.0,2,0.7430864197530864,0.0018518518518518266,0.10691358024691361,0.002222222222222181,0.09288302132541379
P1-B,g,permuted_consensus,0.0,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,permuted_consensus,0.01,2,0.6361111111111111,0.00043209876543204295,-6.17283950616887e-05,6.172839506168869e-05,-0.0004514661428808847
P1-B,g,permuted_consensus,0.03,2,0.6359259259259259,0.0006172839506172201,-0.0002469135802468658,0.00024691358024686577,-0.0018058645715243508
P1-B,g,permuted_consensus,0.1,2,0.6353703703703704,0.001172839506172807,-0.0008024691358024527,0.0008024691358024527,-0.005869059857455157
P1-B,g,permuted_consensus,0.3,2,0.634320987654321,0.002222222222222181,-0.0018518518518518268,0.0018518518518518266,-0.013543984286435069
P1-B,g,permuted_consensus,1.0,2,0.6330246913580246,0.003518518518518421,-0.0031481481481480666,0.0031481481481480666,-0.023024773286939335
P1-B,g,projected_ridge,0.0,2,0.6361728395061728,0.0003703703703703542,0.0,0.0,0.0
P1-B,g,projected_ridge,0.01,2,0.6358024691358024,0.0003703703703703542,-0.00037037037037035425,0.0,-0.00037037037037035425
P1-B,g,projected_ridge,0.03,2,0.6348765432098766,0.00043209876543209846,-0.0012962962962961844,6.172839506174421e-05,-0.001686034044115731
P1-B,g,projected_ridge,0.1,2,0.6323456790123456,0.0004938271604937872,-0.0038271604938270865,0.00012345679012343289,-0.004606635989465829
P1-B,g,projected_ridge,0.3,2,0.6274074074074074,0.0003703703703703542,-0.008765432098765347,0.0007407407407407084,-0.013442285072598502
P1-B,g,projected_ridge,1.0,2,0.6181481481481481,0.0023456790123456694,-0.01802469135802459,0.0027160493827160237,-0.035173152262080086
P1-C,g,a_to_g,0.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,a_to_g,0.01,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,a_to_g,0.03,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,a_to_g,0.1,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,a_to_g,0.3,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,a_to_g,1.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,consensus,0.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,consensus,0.01,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,consensus,0.03,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,consensus,0.1,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,consensus,0.3,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,consensus,1.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,direct_a,0.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,direct_a,0.01,2,0.6747530864197531,0.02993827160493828,-0.001790123456790138,6.172839506174421e-05,-0.0021798612046096846
P1-C,g,direct_a,0.03,2,0.6704938271604938,0.030000000000000023,-0.0060493827160494895,0.0,-0.0060493827160494895
P1-C,g,direct_a,0.1,2,0.6580246913580248,0.030617283950617302,-0.018518518518518545,0.0006172839506172755,-0.02241589599671296
P1-C,g,direct_a,0.3,2,0.6253703703703704,0.03561728395061725,-0.05117283950617291,0.005617283950617224,-0.08663897455774218
P1-C,g,direct_a,1.0,2,0.569320987654321,0.042901234567901236,-0.10722222222222227,0.01290123456790121,-0.18867741151648648
P1-C,g,direct_g,0.0,2,0.6765432098765433,0.030000000000000023,0.0,0.0,0.0
P1-C,g,direct_g,0.01,2,0.6746296296296297,0.029814814814814846,-0.001913580246913571,0.0001851851851851771,-0.0030827934903718598
