lane,representation,graph,tie_seed,graph_role,cells,median_raw_target_effect,exact_eligible_cells,exact_eligible_fraction,median_exact_target_effect,fraction_exact_effect_positive,fraction_exact_holm_p_le_0p05,median_exact_purity_excess,crt_eligible_cells,crt_eligible_fraction,median_crt_target_effect,fraction_crt_effect_positive,fraction_crt_holm_p_le_0p05,median_crt_purity_excess,pair_eligible_cells,pair_eligible_fraction,median_pair_target_effect,fraction_pair_effect_positive,fraction_pair_holm_p_le_0p05,median_pair_purity_excess,median_length_effect,healthy_graph_fraction,median_largest_component_fraction,median_isolated_fraction,mean_iu_auroc,mean_liu_auroc,mean_liu_delta_auroc,spearman_exact_effect_vs_liu_delta
processbench,train_residualized,deployed_union_knn_k7,101,control,4,0.22480035562160972,4,1.0,0.1387338166724703,1.0,0.0,0.05171535776826819,3,0.75,0.1936315421325799,1.0,0.0,0.07759894443752247,4,1.0,0.17744871764875325,1.0,0.0,0.07015056156597743,0.37233750941354815,1.0,1.0,0.0,0.7393293757116732,0.7418562979268757,0.0025269222152024817,1.0
processbench,train_residualized,deployed_union_knn_k7,211,control,4,0.22480035562160972,4,1.0,0.1387338166724703,1.0,0.0,0.05171535776826819,3,0.75,0.1936315421325799,1.0,0.0,0.07759894443752247,4,1.0,0.17744871764875325,1.0,0.0,0.07015056156597743,0.37233750941354815,1.0,1.0,0.0,0.7393293757116732,0.7418562979268757,0.0025269222152024817,1.0
processbench,train_residualized,deployed_union_knn_k7,307,control,4,0.22480035562160972,4,1.0,0.1387338166724703,1.0,0.0,0.05171535776826819,3,0.75,0.1936315421325799,1.0,0.0,0.07759894443752247,4,1.0,0.17744871764875325,1.0,0.0,0.07015056156597743,0.37233750941354815,1.0,1.0,0.0,0.7393293757116732,0.7418562979268757,0.0025269222152024817,1.0
processbench,train_residualized,mutual_knn_k7,101,control,4,0.20630490117794614,4,1.0,0.133313737603817,1.0,0.0,0.055618644017023655,3,0.75,0.18000228612194907,1.0,0.0,0.07978585128696325,4,1.0,0.16601132164507637,1.0,0.0,0.0733555914485512,0.3924676102757439,1.0,0.9435,0.0375,0.7393293757116732,0.7415546213233468,0.0022252456116736152,0.7999999999999999
processbench,train_residualized,mutual_knn_k7,211,control,4,0.20630490117794614,4,1.0,0.133313737603817,1.0,0.0,0.055618644017023655,3,0.75,0.18000228612194907,1.0,0.0,0.07978585128696325,4,1.0,0.16601132164507637,1.0,0.0,0.0733555914485512,0.3924676102757439,1.0,0.9435,0.0375,0.7393293757116732,0.7415546213233468,0.0022252456116736152,0.7999999999999999
processbench,train_residualized,mutual_knn_k7,307,control,4,0.20630490117794614,4,1.0,0.133313737603817,1.0,0.0,0.055618644017023655,3,0.75,0.18000228612194907,1.0,0.0,0.07978585128696325,4,1.0,0.16601132164507637,1.0,0.0,0.0733555914485512,0.3924676102757439,1.0,0.9435,0.0375,0.7393293757116732,0.7415546213233468,0.0022252456116736152,0.7999999999999999
processbench,train_residualized,length_only_knn_k7,101,control,4,0.06189445124162215,4,1.0,-0.001406885726888303,0.25,0.0,0.00016496909794461168,3,0.75,-0.03075672639163311,0.3333333333333333,0.0,-0.009552192138936433,4,1.0,0.00838743687652214,1.0,0.0,0.003917963594453955,0.9929252416587084,0.0,0.6395,0.0,0.7393293757116732,0.7393479293612368,1.8553649563740615e-05,-0.19999999999999998
processbench,train_residualized,length_only_knn_k7,211,control,4,0.06656411779560885,4,1.0,0.003410761585871628,1.0,0.0,0.0014330795489221893,3,0.75,-0.029423665991680746,0.3333333333333333,0.0,-0.010048622976158716,4,1.0,0.013150183222109327,1.0,0.0,0.005608499322119098,0.9929235789126826,0.0,0.6395,0.0,0.7393293757116732,0.7393506134310008,2.123771932757701e-05,0.39999999999999997
processbench,train_residualized,length_only_knn_k7,307,control,4,0.06553924767279797,4,1.0,-0.0017045801012775961,0.25,0.0,-0.0007242457846123318,3,0.75,-0.027948336860154483,0.0,0.0,-0.008201780208892506,4,1.0,0.006879555262606307,1.0,0.0,0.0035434628756685904,0.9929233618629958,0.0,0.6395,0.0,0.7393293757116732,0.7393191449211639,-1.0230790509241361e-05,0.39999999999999997
processbench,train_residualized,permuted_self_safe_union_knn_k7,101,control,4,0.002069369394189481,4,1.0,0.0015320869932443986,0.75,0.0,0.002048652620149305,3,0.75,6.0815990246419185e-05,0.6666666666666666,0.0,-0.0037375706299737077,4,1.0,0.0055233346458986995,0.5,0.0,0.003111732632878783,-0.0054324437135337255,1.0,1.0,0.0,0.7393293757116732,0.7393027567266905,-2.6618984982601512e-05,0.39999999999999997
