lane,representation,graph,tie_seed,cells,mean_liu_delta_auroc,median_liu_delta_auroc,ci_low,ci_high,positive_cells_fraction
global24,train_residualized,radius_edge_matched_k7,211,21,0.0003432419831283057,9.819664031607278e-05,5.459753958918552e-05,0.0007026807162560404,0.7619047619047619
global24,train_residualized,radius_edge_matched_k7,307,21,0.0003432419831283057,9.819664031607278e-05,4.831052094981115e-05,0.000699628332521996,0.7619047619047619
global24,train_residualized,adaptive_knn_mean7_k3_25,101,21,0.0007800686506740638,0.0006640563299458169,1.322252821517283e-05,0.0015525657352972546,0.7619047619047619
global24,train_residualized,adaptive_knn_mean7_k3_25,211,21,0.0007800686506740638,0.0006640563299458169,1.8616497973788147e-05,0.0015302582108688892,0.7619047619047619
global24,train_residualized,adaptive_knn_mean7_k3_25,307,21,0.0007800686506740638,0.0006640563299458169,1.8002539911012526e-05,0.001513324713127042,0.7619047619047619
global24,train_residualized,diffusion_edge_matched_base25_t2,101,21,0.0007002767826102831,0.0004919064933952555,-2.2692770485006287e-05,0.0014317592242055282,0.7619047619047619
global24,train_residualized,diffusion_edge_matched_base25_t2,211,21,0.0007002767826102831,0.0004919064933952555,-8.397712058430525e-06,0.0014042560393536512,0.7619047619047619
global24,train_residualized,diffusion_edge_matched_base25_t2,307,21,0.0007002821099375873,0.0004919064933952555,-4.5155439272224434e-05,0.0013997221125712361,0.7619047619047619
global24,train_residualized,diffusion_edge_matched_base25_t4,101,21,0.0007084987126560075,0.0005613504000278047,0.00015652924878654663,0.0012571386458014228,0.8095238095238095
global24,train_residualized,diffusion_edge_matched_base25_t4,211,21,0.0007084987126560075,0.0005613504000278047,0.00016674182028593193,0.0012541672334804496,0.8095238095238095
global24,train_residualized,diffusion_edge_matched_base25_t4,307,21,0.0007084987126560075,0.0005613504000278047,0.0001681467789146937,0.0012574817902393947,0.8095238095238095
global24,train_residualized,deployed_union_knn_k7,101,21,0.0007027711461549653,0.0006380249074520172,-0.00015352762230712817,0.001490960779462975,0.7142857142857143
global24,train_residualized,deployed_union_knn_k7,211,21,0.0007027711461549653,0.0006380249074520172,-0.00017162491963518189,0.001495358441057732,0.7142857142857143
global24,train_residualized,deployed_union_knn_k7,307,21,0.0007027711461549653,0.0006380249074520172,-0.00018980289368694127,0.001458355157107981,0.7142857142857143
global24,train_residualized,mutual_knn_k7,101,21,0.0005317885671774306,0.00048690218627778226,3.888893444976164e-05,0.0010448416411549266,0.6666666666666666
global24,train_residualized,mutual_knn_k7,211,21,0.0005317885671774306,0.00048690218627778226,4.6127486390735665e-05,0.0010273678570414254,0.6666666666666666
global24,train_residualized,mutual_knn_k7,307,21,0.0005317885671774306,0.00048690218627778226,3.113555489224907e-05,0.0010568590916271586,0.6666666666666666
global24,train_residualized,length_only_knn_k7,101,21,1.3220712971627799e-05,0.0,-6.0327795434855245e-05,7.338731186635854e-05,0.47619047619047616
global24,train_residualized,length_only_knn_k7,211,21,5.885509459080396e-05,2.2315949208873143e-05,-1.965570857289127e-05,0.00014761902517673785,0.5714285714285714
