cell,family,domain,n,positive_rate,method_key,method,auroc,auprc,score_variance
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,cm_direct_k3,cm_direct_k3,0.6390522301274395,0.5465528277198133,8.673556320294901
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,cm_direct_k4,cm_direct_k4,0.562210152426885,0.5578963372609633,35990.85300912749
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,cm_iu_k0,cm_iu_k0,0.8072191008667475,0.7708202921525599,0.19090766792748068
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,cm_iu_k1,cm_iu_k1,0.6484561967010888,0.5601022324326983,0.18040025345962613
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,cm_iu_k2,cm_iu_k2,0.7000687030705659,0.5995316271149136,0.2135234159479827
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,cm_iu_k3,cm_iu_k3,0.640389300774811,0.551480587432544,0.20811818319412406
semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.476775956284153,cm_iu_k4,cm_iu_k4,0.4378879354415575,0.496513999947061,0.45509582100984236
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,deployed_upcr_mixed_v2,Deployed-style U-PCR (mixed-v2),0.9299999999999999,0.4658628408628408,0.3046104296194062
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,iu_pcr,IU-PCR,0.9373333333333334,0.5012979109223241,0.2797404145554766
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,su_pcr,SU-PCR reproduction,0.9373333333333334,0.5012979109223241,0.2792813233145531
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,sdsf,SDSF,0.7906666666666667,0.2694225795269003,0.3095870288172319
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,dufs_liu,DUFS-LIU,0.938,0.5410372194854953,0.2538179639857411
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,cm_direct_selected,CM-LFF direct factor,0.9373333333333334,0.5012979109223241,0.2797404145554766
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,cm_iu_selected,CM-deflated IU-PCR,0.9373333333333334,0.5012979109223241,0.2797404145554766
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,cm_dufs_selected,CM-deflated DUFS-LIU,0.938,0.5410372194854953,0.2538179639857411
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,pca_iu_selected,Second-order deflation control,0.9373333333333334,0.5012979109223241,0.279740414555477
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,permuted_cm_iu_selected,Permuted-moment control,0.9373333333333334,0.5012979109223241,0.2797404145554766
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,cm_direct_k0,cm_direct_k0,0.9486666666666667,0.5538274449564772,12.34386885501365
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,cm_direct_k1,cm_direct_k1,0.884,0.14634671384527007,8.640461626936215
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,cm_direct_k2,cm_direct_k2,0.5486666666666666,0.038922416115398574,7.410459098571286
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,cm_direct_k3,cm_direct_k3,0.5133333333333334,0.028433365846592003,7.3155097592491245
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,cm_direct_k4,cm_direct_k4,0.5753333333333334,0.03082582776724771,17.457999119392248
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,cm_iu_k0,cm_iu_k0,0.9373333333333334,0.5012979109223241,0.2797404145554766
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,cm_iu_k1,cm_iu_k1,0.8753333333333333,0.14180814158472554,0.2906338465290799
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,cm_iu_k2,cm_iu_k2,0.5533333333333333,0.03236426715656986,0.27695738552540294
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,cm_iu_k3,cm_iu_k3,0.5313333333333333,0.02955220737936252,0.2783241083775327
spilled_triviaqa_llama8b,triviaqa,QA,256,0.0234375,cm_iu_k4,cm_iu_k4,0.538,0.02759662770901998,0.34147585673851677
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,deployed_upcr_mixed_v2,Deployed-style U-PCR (mixed-v2),0.6618596547921464,0.18927490311901196,0.25113035614667534
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,iu_pcr,IU-PCR,0.6631464677130233,0.1920906396562432,0.19702610222730074
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,su_pcr,SU-PCR reproduction,0.6618471561869183,0.19051462219133922,0.21405532977552683
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,sdsf,SDSF,0.6591007235424453,0.1890525328012389,0.21107762184759188
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,dufs_liu,DUFS-LIU,0.6617779610101482,0.1904810558734791,0.16996137704385442
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,cm_direct_selected,CM-LFF direct factor,0.6631464677130233,0.1920906396562432,0.19702610222730074
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,cm_iu_selected,CM-deflated IU-PCR,0.6631464677130233,0.1920906396562432,0.19702610222730074
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,cm_dufs_selected,CM-deflated DUFS-LIU,0.6617779610101482,0.1904810558734791,0.16996137704385442
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,pca_iu_selected,Second-order deflation control,0.6631464677130233,0.1920906396562432,0.1970261022273009
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,permuted_cm_iu_selected,Permuted-moment control,0.6631464677130233,0.1920906396562432,0.19702610222730074
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,cm_direct_k0,cm_direct_k0,0.6603911592474463,0.19117659758140204,6.929054669709693
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,cm_direct_k1,cm_direct_k1,0.6600497118437507,0.19135665747610497,6.957320341937863
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,cm_direct_k2,cm_direct_k2,0.6568118485328449,0.19106577837379896,6.4417309782856895
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,cm_direct_k3,cm_direct_k3,0.6372806947630483,0.17961950025977366,7.682157665940449
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,cm_direct_k4,cm_direct_k4,0.5794871441882572,0.15491243407098995,17.717212939777596
truthfulqa_llama8b,truthfulqa,QA,7633,0.10598716101139788,cm_iu_k0,cm_iu_k0,0.6631464677130233,0.1920906396562432,0.19702610222730074
