abstentions,access_tier,base_candidate,calibration_f1,candidate,clean_abstention,coverage,detector_auprc,detector_auroc,exact_error,f1,family,fidelity,late_location_rate,locator,mean_absolute_step_error,model,n,primary,requested_n,task,threshold,within_one
,A,max_entropy,0.3325620073758045,max_entropy__step_top5mean,0.5185185185185185,,0.7952190537967712,0.7382716049382717,0.2,0.28865979381443296,olympiadbench,transparent_same_trace_baseline,0.3181818181818182,step_top5mean,1.790909090909091,llama31_8b,191,0.28865979381443296,,local,2.4489763975143433,0.43636363636363634
,A,mind_the_gap,0.24277456647398846,mind_the_gap,0.5925925925925926,,0.7419445096143522,0.6780022446689113,0.21818181818181817,0.318936877076412,olympiadbench,protocol_reproduction,,paper_evidence_drop,,llama31_8b,191,0.318936877076412,,local,0.6775731915759506,0.3090909090909091
0,B,qwen_prm,,qwen_prm,0.8395061728395061,1.0,,,0.509090909090909,0.6338215712383488,olympiadbench,exact_local_competitor_run,,native_prediction,,llama31_8b,191,0.6338215712383488,191,local,,0.6636363636363637
0,B,qwen72b_critic,,qwen72b_critic,0.9135802469135802,1.0,,,0.3090909090909091,0.46190563612997976,olympiadbench,critic_protocol_different_model,,native_prediction,,llama31_8b,191,0.46190563612997976,191,local,,0.4636363636363636
0,B,qwen3_judge_control,,qwen3_judge_control,0.43209876543209874,1.0,,,0.045454545454545456,0.08225616921269095,olympiadbench,exact_local_competitor_run,,native_prediction,,llama31_8b,191,0.08225616921269095,191,local,,0.14545454545454545
,A,,0.331080148986067,finalist_global_detector_local_locator,0.4666666666666667,,0.9278589070510552,0.8156028368794327,0.19858156028368795,0.2786069651741294,omnimath,,,,,llama31_8b,186,0.2786069651741294,,local,-0.24781163994990957,0.4326241134751773
,A,gl_liu_v1_replay,0.2789295921018447,gl_liu_v1_replay,0.5111111111111111,,0.9256653382514699,0.8048857368006305,0.2198581560283688,0.30746011211729196,omnimath,registered_incumbent_replay,,peak,,llama31_8b,186,0.30746011211729196,,local,-0.6311769166214113,0.4326241134751773
,A,step272_twohead,0.28370163080189137,step272_twohead,0.5333333333333333,,0.9272112057498091,0.8141843971631205,0.14893617021276595,0.23284823284823283,omnimath,registered_incumbent_replay,,peak,,llama31_8b,186,0.23284823284823283,,local,-0.518313517413096,0.375886524822695
,A,max_entropy,0.32071056778568363,max_entropy__peak,0.4888888888888889,,0.9219966846365717,0.7847123719464145,0.14184397163120568,0.21989005497251374,omnimath,transparent_same_trace_baseline,0.5460992907801419,peak,2.2907801418439715,llama31_8b,186,0.21989005497251374,,local,2.4409618377685547,0.41843971631205673
,A,max_entropy,0.33599546335239355,max_entropy__persistent_q90_3,0.4444444444444444,,0.9219966846365717,0.7847123719464145,0.19858156028368795,0.2745098039215686,omnimath,transparent_same_trace_baseline,0.24113475177304963,persistent_q90_3,2.347517730496454,llama31_8b,186,0.2745098039215686,,local,2.426840901374817,0.48226950354609927
,A,max_entropy,0.33599546335239355,max_entropy__step_top5mean,0.4222222222222222,,0.9219966846365717,0.7847123719464145,0.22695035460992907,0.2952172857489682,omnimath,transparent_same_trace_baseline,0.48226950354609927,step_top5mean,2.1843971631205674,llama31_8b,186,0.2952172857489682,,local,2.422567844390869,0.44680851063829785
,A,mind_the_gap,0.2575534972852124,mind_the_gap,0.3333333333333333,,0.9124077152101843,0.779511426319937,0.18439716312056736,0.2374429223744292,omnimath,protocol_reproduction,,paper_evidence_drop,,llama31_8b,186,0.2374429223744292,,local,0.6152566042353993,0.4326241134751773
0,B,qwen_prm,,qwen_prm,0.8,1.0,,,0.5602836879432624,0.6590198123044838,omnimath,exact_local_competitor_run,,native_prediction,,llama31_8b,186,0.6590198123044838,186,local,,0.6524822695035462
4,B,qwen72b_critic,,qwen72b_critic,0.8666666666666667,0.978494623655914,,,0.44525547445255476,0.5882789317507419,omnimath,critic_protocol_different_model,,native_prediction,,llama31_8b,182,0.5882789317507419,186,local,,0.5693430656934306
0,B,qwen3_judge_control,,qwen3_judge_control,0.5555555555555556,1.0,,,0.028368794326241134,0.05398110661268556,omnimath,exact_local_competitor_run,,native_prediction,,llama31_8b,186,0.05398110661268556,186,local,,0.15602836879432624
