cell,feature,hand_sign,derived_sign,rho,match
losnet_hotpotqa_mistral7b,mean_logprob_entropy,-1,-1,0.17977963588094492,1
losnet_hotpotqa_mistral7b,varentropy,-1,-1,0.16563498112614472,1
losnet_hotpotqa_mistral7b,renyi_entropy_2,-1,-1,0.18061518448692385,1
losnet_hotpotqa_mistral7b,topk_tail_mass,-1,-1,0.1796370062076484,1
math500_dsmath7b,epr,-1,-1,0.23644785469551052,1
math500_dsmath7b,trace_length,1,-1,0.19820567550247986,0
math500_dsmath7b,spectral_entropy,-1,-1,0.09285831670363032,1
math500_dsmath7b,low_band_power,-1,-1,0.033577580688145515,1
math500_dsmath7b,high_band_power,-1,1,-0.06149852671091412,0
math500_dsmath7b,hl_ratio,-1,1,-0.04861077494440112,0
math500_dsmath7b,dominant_freq,-1,1,-0.062152565766659076,0
math500_dsmath7b,spectral_centroid,-1,1,-0.1097981431470878,0
math500_dsmath7b,stft_max_high_power,-1,-1,0.09536337401793313,1
math500_dsmath7b,stft_spectral_entropy,-1,1,-0.050050730773117155,0
math500_dsmath7b,rpdi,-1,-1,0.06340939661942907,1
math500_dsmath7b,sw_var_peak,-1,-1,0.14070980795230603,1
math500_dsmath7b,pe_mean,-1,-1,0.04002008608644713,1
math500_dsmath7b,hurst_exponent,1,-1,0.05941575034500857,0
math500_dsmath7b,cusum_max,-1,-1,0.17834565491055054,1
math500_dsmath7b,cusum_shift_idx,1,1,-0.030602386916227464,1
math500_dsmath7b,epr_spilled,1,-1,0.2377048588238987,0
math500_dsmath7b,sw_var_peak_spilled,1,-1,0.12276852771551523,0
math500_dsmath7b,cusum_max_spilled,1,-1,0.1826264859423539,0
math500_dsmath7b,min_spilled,1,-1,0.032010727309886584,0
math500_dsmath7b,epr_energy,-1,-1,0.15662280073928936,1
math500_dsmath7b,min_energy,-1,1,-0.01529137271217032,0
math500_dsmath7b,sw_var_peak_energy,-1,-1,0.041741291298158206,1
math500_dsmath7b,cusum_max_energy,-1,-1,0.1444232194133356,1
math500_dsmath7b,mean_top1_logprob,1,1,-0.2953598489262016,1
math500_dsmath7b,logprob_margin,1,1,-0.2751377353996879,1
math500_dsmath7b,mean_logprob_entropy,-1,-1,0.2370580432448848,1
math500_dsmath7b,varentropy,-1,-1,0.1773296982542756,1
math500_dsmath7b,renyi_entropy_2,-1,-1,0.2378031078950602,1
math500_dsmath7b,topk_tail_mass,-1,-1,0.23400629836460726,1
math500_qwenmath7b,epr,-1,-1,-0.04093431871017935,1
math500_qwenmath7b,spectral_entropy,-1,-1,-0.04637933653311813,1
math500_qwenmath7b,low_band_power,-1,-1,-0.026791107813421096,1
math500_qwenmath7b,high_band_power,-1,-1,-0.0015426537025361436,1
math500_qwenmath7b,hl_ratio,-1,-1,-0.002223361099541899,1
math500_qwenmath7b,spectral_centroid,-1,-1,-0.008362502549490211,1
math500_qwenmath7b,stft_max_high_power,-1,1,0.033171018028975555,0
math500_qwenmath7b,stft_spectral_entropy,-1,-1,-0.005919799495290066,1
math500_qwenmath7b,rpdi,-1,1,0.043893703146945975,0
math500_qwenmath7b,sw_var_peak,-1,1,0.005681254091823739,0
math500_qwenmath7b,pe_mean,-1,1,0.01702315555828165,0
math500_qwenmath7b,hurst_exponent,1,1,0.009265490678082557,1
math500_qwenmath7b,cusum_max,-1,1,0.031620052335957785,0
math500_qwenmath7b,cusum_shift_idx,1,1,0.04599229532494364,1
math500_qwenmath7b,epr_spilled,1,-1,-0.04023105453038118,0
math500_qwenmath7b,sw_var_peak_spilled,1,1,0.043022370835695094,1
math500_qwenmath7b,cusum_max_spilled,1,1,0.031435955127654985,1
math500_qwenmath7b,min_spilled,1,1,0.0034436448972092236,1
math500_qwenmath7b,epr_energy,-1,-1,-0.02250304198891688,1
math500_qwenmath7b,min_energy,-1,-1,-0.027362242051058368,1
math500_qwenmath7b,sw_var_peak_energy,-1,1,0.032554874194162,0
math500_qwenmath7b,cusum_max_energy,-1,1,0.05682449699041298,0
math500_qwenmath7b,mean_top1_logprob,1,1,0.010014276364574448,1
math500_qwenmath7b,logprob_margin,1,1,0.0006409341357594602,1
math500_qwenmath7b,mean_logprob_entropy,-1,-1,-0.04109058545021743,1
math500_qwenmath7b,varentropy,-1,1,0.03259019501479794,0
math500_qwenmath7b,renyi_entropy_2,-1,-1,-0.04368543704237417,1
math500_qwenmath7b,topk_tail_mass,-1,-1,-0.04422178727286785,1
math500_r1distill8b,epr,-1,-1,0.2380794032927955,1
math500_r1distill8b,spectral_entropy,-1,-1,0.18813687110522845,1
math500_r1distill8b,low_band_power,-1,-1,0.07069754380063567,1
math500_r1distill8b,high_band_power,-1,1,-0.07561591134933474,0
math500_r1distill8b,hl_ratio,-1,1,-0.09655251674448662,0
math500_r1distill8b,spectral_centroid,-1,1,-0.11685698403718825,0
math500_r1distill8b,stft_max_high_power,-1,-1,0.15149809331820152,1
math500_r1distill8b,stft_spectral_entropy,-1,1,-0.013175399817122894,0
math500_r1distill8b,rpdi,-1,-1,0.15040985108641258,1
math500_r1distill8b,sw_var_peak,-1,-1,0.17694758130282257,1
math500_r1distill8b,pe_mean,-1,1,-0.014243940930587236,0
math500_r1distill8b,hurst_exponent,1,-1,0.07865157019168272,0
math500_r1distill8b,cusum_max,-1,-1,0.20030964129219708,1
math500_r1distill8b,cusum_shift_idx,1,1,-0.0024834973971485028,1
math500_r1distill8b,epr_spilled,1,-1,0.23565404397516704,0
math500_r1distill8b,sw_var_peak_spilled,1,-1,0.08013223143532602,0
math500_r1distill8b,cusum_max_spilled,1,-1,0.20665860945010905,0
math500_r1distill8b,min_spilled,1,1,-0.06975480872288536,1
math500_r1distill8b,epr_energy,-1,1,-0.24895028487288876,0
math500_r1distill8b,min_energy,-1,1,-0.18549432578491873,0
math500_r1distill8b,sw_var_peak_energy,-1,-1,0.08965095631794259,1
math500_r1distill8b,cusum_max_energy,-1,-1,0.20076085734619492,1
math500_r1distill8b,mean_top1_logprob,1,1,-0.2778189698954935,1
math500_r1distill8b,logprob_margin,1,1,-0.2782517899610537,1
math500_r1distill8b,mean_logprob_entropy,-1,-1,0.23629556998863177,1
math500_r1distill8b,varentropy,-1,-1,0.23157068316557514,1
