version,domain,random_partition,equal_group_delta_pp,beats_iu,matches_or_beats_family_nrm
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,35,-0.019413822589021967,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,36,1.0643832622669769,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,37,0.30443288622238884,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,38,1.0287648075765112,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,39,0.22340360449234625,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,40,1.2382895265978466,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,41,-0.31903778316616643,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,42,-0.054342704853869994,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,43,0.20416109103847807,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,44,-0.34798387230509653,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,45,-0.7394808320315333,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,46,-0.7696695186376362,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,47,-0.8759737599376163,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,48,-1.2347240578714254,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,49,1.001161005231657,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,0,1.2793222942166282,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,1,1.9725069180476729,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,2,-2.608363484082865,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,3,-0.30098135761745803,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,4,-0.27998934886999116,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,5,-0.09780995474818477,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,6,-0.5315455237009159,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,7,-0.7631846635232697,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,8,-2.4071505664463757,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,9,0.6240260544737641,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,10,-1.5243347890216474,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,11,-2.33220814989103,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,12,-2.515582673013894,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,13,-0.25665540308756896,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,14,0.3055256138133844,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,15,-0.44076744414719427,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,16,-0.7607942137712709,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,17,0.16534871708023813,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,18,0.09463009475088602,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,19,-0.3953665638158743,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,20,0.20095810602824282,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,21,-1.7254267124902856,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,22,-2.8827379173900933,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,23,1.530890285633285,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,24,1.1673973918642888,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,25,-1.945045148849095,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,26,-1.3532216394176677,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,27,0.03623180902540546,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,28,-1.8388285202773802,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,29,-2.9543586509506947,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,30,-2.0239272342608583,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,31,1.2318796852402891,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,32,-0.1406827328897131,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,33,0.731542387631795,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,34,0.736413217824744,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,35,0.35074361270637233,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,36,1.6755965539787143,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,37,-0.2934808457411786,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,38,0.8876455252080695,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,39,-0.9800135467448068,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,40,-0.5880646846709858,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,41,1.0069521983297969,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,42,-2.5308928694627806,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,43,-2.739934311096598,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,44,-2.653956210158931,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,45,-1.2119488921785493,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,46,-2.1225858020266166,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,47,-2.4636105725816093,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,48,-1.791969693779677,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,49,-0.24363810364441685,False,False
