test_set,test_set_code,measurement,measurement_code,learned_weight,guessed_weight
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Variability of surprise,varentropy,0.7359031044069018,0.1797682319964232
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Concentration of candidate words,renyi_entropy_2,-0.0579028577121152,0.18021324634905195
GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,Probability outside the top few words,topk_tail_mass,-0.2938210776422967,0.16774522380357185
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Average uncertainty per token,epr,0.22294407553854287,0.19567994377365494
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Answer length,trace_length,-0.5128035223178147,-0.1729736537104715
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,How flat the uncertainty rhythm is,spectral_entropy,0.060936365534921606,0.1729736537104715
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Slow drifts in uncertainty,low_band_power,-0.08222198442904224,0.19291999903558635
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Fast jitter in uncertainty,high_band_power,0.3142609564737927,-0.11593058049658489
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Jitter-to-drift ratio,hl_ratio,-0.6692619720374544,-0.17519884511146647
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Speed of the strongest rhythm,dominant_freq,0.1100248874817796,-0.12738996460979965
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Average rhythm speed,spectral_centroid,0.488829063099289,-0.1953365610450749
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Strongest local burst of jitter,stft_max_high_power,-0.11496232463926838,-0.11593058049658489
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Local rhythm flatness,stft_spectral_entropy,-0.4097276244553588,-0.16113430927250275
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Late-answer uncertainty drift,rpdi,0.4758146724716884,0.1032530821727562
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Burstiest stretch of the answer,sw_var_peak,0.16475747244689481,0.2623740414394975
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Ordinal pattern complexity,pe_mean,0.05370125194926905,-0.05395940159946063
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Self-similarity of the trace,hurst_exponent,-0.02551459972381613,-0.1679404674766004
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Size of the biggest shift,cusum_max,0.10954925383381732,0.2594011211349586
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Where the biggest shift happens,cusum_shift_idx,0.15791066856314853,-0.05395940159946063
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Average surprise per token,epr_spilled,0.6937982087692312,-0.1942096964208301
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Burstiest stretch (surprise),sw_var_peak_spilled,0.1164214642581314,-0.23376165089408327
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Size of biggest shift (surprise),cusum_max_spilled,0.40959883161234384,-0.25843886333014654
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Average vocabulary spread,epr_energy,0.08505568787816636,-0.18478608640006808
GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,Narrowest vocabulary moment,min_energy,-0.4683561651518242,-0.2688981790007791
