version,cell,family,contribution_family,budget,prior_strength,n_splits,mean_delta,std_delta,positive_fraction,mean_delta_norm,mean_cosine_to_cell_mean
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_nemo,gsm8k,partition_energy,all,0.3,30,0.08623951386163091,0.020913305772589603,1.0,0.17592326633825944,0.975019892695706
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_nemo,gsm8k,topk_distribution,all,0.3,30,0.03300024520624998,0.013479310477336689,0.9666666666666667,0.17592326633825944,0.975019892695706
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_nemo,gsm8k,structural,all,0.3,30,0.10737056891314042,0.02172413761393833,1.0,0.17592326633825944,0.975019892695706
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_phi35,gsm8k,entropy_level,all,0.3,30,0.07466467583290123,0.014707379291202177,1.0,0.16177814641171845,0.9672443145660513
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_phi35,gsm8k,entropy_dynamics,all,0.3,30,-0.07972975989104611,0.0172373093426245,0.0,0.16177814641171845,0.9672443145660513
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_phi35,gsm8k,sampled_token_energy,all,0.3,30,-0.016054145335295908,0.020817652393136273,0.26666666666666666,0.16177814641171845,0.9672443145660513
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_phi35,gsm8k,partition_energy,all,0.3,30,0.04948058711464038,0.02512724133160935,0.9333333333333333,0.16177814641171845,0.9672443145660513
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_phi35,gsm8k,topk_distribution,all,0.3,30,0.061275710624632544,0.015295812315186359,1.0,0.16177814641171845,0.9672443145660513
harp-contribution-subspace-poc-v1-2026-08-12,lapeigvals_gsm8k_phi35,gsm8k,structural,all,0.3,30,0.08820285386927848,0.025978229814420422,1.0,0.16177814641171845,0.9672443145660513
harp-contribution-subspace-poc-v1-2026-08-12,noise_gsm8k_mistral7b,gsm8k,entropy_level,all,0.3,30,0.015891933405512173,0.005709079547181925,1.0,0.20326270916363656,0.9930536247566564
harp-contribution-subspace-poc-v1-2026-08-12,noise_gsm8k_mistral7b,gsm8k,entropy_dynamics,all,0.3,30,-0.032670469076022966,0.00802209607519109,0.0,0.20326270916363656,0.9930536247566564
harp-contribution-subspace-poc-v1-2026-08-12,noise_gsm8k_mistral7b,gsm8k,sampled_token_energy,all,0.3,30,-0.10699117744707419,0.01441127460725306,0.0,0.20326270916363656,0.9930536247566564
harp-contribution-subspace-poc-v1-2026-08-12,noise_gsm8k_mistral7b,gsm8k,partition_energy,all,0.3,30,0.03656078687480227,0.016996715088772426,1.0,0.20326270916363656,0.9930536247566564
harp-contribution-subspace-poc-v1-2026-08-12,noise_gsm8k_mistral7b,gsm8k,topk_distribution,all,0.3,30,0.019355380403128154,0.0054343120207286325,1.0,0.20326270916363656,0.9930536247566564
harp-contribution-subspace-poc-v1-2026-08-12,noise_gsm8k_mistral7b,gsm8k,structural,all,0.3,30,0.16382118880218968,0.01545323953728847,1.0,0.20326270916363656,0.9930536247566564
harp-contribution-subspace-poc-v1-2026-08-12,noise_gsm8k_phi3mini,gsm8k,entropy_level,all,0.3,30,0.052756842101657916,0.014081005798448804,1.0,0.12842972213693468,0.9608210051205225
harp-contribution-subspace-poc-v1-2026-08-12,noise_gsm8k_phi3mini,gsm8k,entropy_dynamics,all,0.3,30,-0.039672397033136374,0.014408266694629522,0.0,0.12842972213693468,0.9608210051205225
harp-contribution-subspace-poc-v1-2026-08-12,noise_gsm8k_phi3mini,gsm8k,sampled_token_energy,all,0.3,30,-0.06203447230974157,0.01690968667332793,0.0,0.12842972213693468,0.9608210051205225
harp-contribution-subspace-poc-v1-2026-08-12,noise_gsm8k_phi3mini,gsm8k,partition_energy,all,0.3,30,-0.04879595087105028,0.018326930383923974,0.0,0.12842972213693468,0.9608210051205225
harp-contribution-subspace-poc-v1-2026-08-12,noise_gsm8k_phi3mini,gsm8k,topk_distribution,all,0.3,30,0.05917158726049424,0.012073559049978764,1.0,0.12842972213693468,0.9608210051205225
harp-contribution-subspace-poc-v1-2026-08-12,noise_gsm8k_phi3mini,gsm8k,structural,all,0.3,30,0.04905520092907426,0.02103605039929114,0.9666666666666667,0.12842972213693468,0.9608210051205225
harp-contribution-subspace-poc-v1-2026-08-12,math500_dsmath7b,math500,entropy_level,all,0.3,30,0.064912937177934,0.023971713738273434,1.0,0.13742499806816208,0.8426220921221955
harp-contribution-subspace-poc-v1-2026-08-12,math500_dsmath7b,math500,entropy_dynamics,all,0.3,30,-0.07919179222887983,0.02693763162127968,0.0,0.13742499806816208,0.8426220921221955
harp-contribution-subspace-poc-v1-2026-08-12,math500_dsmath7b,math500,sampled_token_energy,all,0.3,30,-0.042027215148477876,0.047876531814070276,0.16666666666666666,0.13742499806816208,0.8426220921221955
harp-contribution-subspace-poc-v1-2026-08-12,math500_dsmath7b,math500,partition_energy,all,0.3,30,0.016536165466690213,0.058406885829772694,0.6666666666666666,0.13742499806816208,0.8426220921221955
harp-contribution-subspace-poc-v1-2026-08-12,math500_dsmath7b,math500,topk_distribution,all,0.3,30,0.07507604842125747,0.02243882192159206,1.0,0.13742499806816208,0.8426220921221955
harp-contribution-subspace-poc-v1-2026-08-12,math500_dsmath7b,math500,structural,all,0.3,30,0.026915722106543475,0.04713716274979261,0.7666666666666667,0.13742499806816208,0.8426220921221955
harp-contribution-subspace-poc-v1-2026-08-12,math500_qwenmath7b,math500,entropy_level,all,0.3,30,0.06675250591761493,0.016177815918147268,1.0,0.1369014188929891,0.9416855584095145
harp-contribution-subspace-poc-v1-2026-08-12,math500_qwenmath7b,math500,entropy_dynamics,all,0.3,30,-0.042022529096829575,0.02764034482518674,0.06666666666666667,0.1369014188929891,0.9416855584095145
harp-contribution-subspace-poc-v1-2026-08-12,math500_qwenmath7b,math500,sampled_token_energy,all,0.3,30,-0.0807269923093399,0.02550022476003105,0.0,0.1369014188929891,0.9416855584095145
harp-contribution-subspace-poc-v1-2026-08-12,math500_qwenmath7b,math500,partition_energy,all,0.3,30,0.024482653249732207,0.03154978456826966,0.7666666666666667,0.1369014188929891,0.9416855584095145
harp-contribution-subspace-poc-v1-2026-08-12,math500_qwenmath7b,math500,topk_distribution,all,0.3,30,0.07351163785061328,0.015037303248406051,1.0,0.1369014188929891,0.9416855584095145
harp-contribution-subspace-poc-v1-2026-08-12,math500_r1distill8b,math500,entropy_level,all,0.3,30,0.0031358431555165403,0.01763513487208182,0.5,0.08909098790222474,0.878993495994169
harp-contribution-subspace-poc-v1-2026-08-12,math500_r1distill8b,math500,entropy_dynamics,all,0.3,30,0.006594468611312586,0.02061764906983759,0.5666666666666667,0.08909098790222474,0.878993495994169
harp-contribution-subspace-poc-v1-2026-08-12,math500_r1distill8b,math500,sampled_token_energy,all,0.3,30,0.07617327580802549,0.032090114374867675,1.0,0.08909098790222474,0.878993495994169
harp-contribution-subspace-poc-v1-2026-08-12,math500_r1distill8b,math500,partition_energy,all,0.3,30,-0.04356361913493849,0.027808990493421462,0.0,0.08909098790222474,0.878993495994169
harp-contribution-subspace-poc-v1-2026-08-12,math500_r1distill8b,math500,topk_distribution,all,0.3,30,-0.013554583629653507,0.019597756556271207,0.2,0.08909098790222474,0.878993495994169
harp-contribution-subspace-poc-v1-2026-08-12,math500_r1distill8b_mn4096,math500,entropy_level,all,0.3,30,0.027722679394650042,0.01814283544576582,0.9,0.23342659397300966,0.9777427086892606
harp-contribution-subspace-poc-v1-2026-08-12,math500_r1distill8b_mn4096,math500,entropy_dynamics,all,0.3,30,-0.09629280319388094,0.025183982019487183,0.0,0.23342659397300966,0.9777427086892606
harp-contribution-subspace-poc-v1-2026-08-12,math500_r1distill8b_mn4096,math500,sampled_token_energy,all,0.3,30,0.00882323195290849,0.037694268149423074,0.5666666666666667,0.23342659397300966,0.9777427086892606
harp-contribution-subspace-poc-v1-2026-08-12,math500_r1distill8b_mn4096,math500,partition_energy,all,0.3,30,0.20894672438880202,0.03837785744430222,1.0,0.23342659397300966,0.9777427086892606
harp-contribution-subspace-poc-v1-2026-08-12,math500_r1distill8b_mn4096,math500,topk_distribution,all,0.3,30,0.026655971548256455,0.019641677674411814,0.8666666666666667,0.23342659397300966,0.9777427086892606
harp-contribution-subspace-poc-v1-2026-08-12,trace_gsm8k_llama8b_k10,gsm8k,entropy_level,all,0.3,30,0.0041334395709871985,0.007570020152967685,0.7333333333333333,0.09560968870758889,0.9829435843201981
harp-contribution-subspace-poc-v1-2026-08-12,trace_gsm8k_llama8b_k10,gsm8k,entropy_dynamics,all,0.3,30,-0.007201920418992991,0.0053441800679942765,0.03333333333333333,0.09560968870758889,0.9829435843201981
harp-contribution-subspace-poc-v1-2026-08-12,trace_gsm8k_llama8b_k10,gsm8k,sampled_token_energy,all,0.3,30,-0.06050856434570894,0.010071440259789153,0.0,0.09560968870758889,0.9829435843201981
harp-contribution-subspace-poc-v1-2026-08-12,trace_gsm8k_llama8b_k10,gsm8k,partition_energy,all,0.3,30,0.07259540712495224,0.010424460166011845,1.0,0.09560968870758889,0.9829435843201981
harp-contribution-subspace-poc-v1-2026-08-12,trace_gsm8k_llama8b_k10,gsm8k,topk_distribution,all,0.3,30,0.0011133534636346978,0.005726824045847464,0.6333333333333333,0.09560968870758889,0.9829435843201981
harp-contribution-subspace-poc-v1-2026-08-12,trace_gsm8k_llama8b_k10,gsm8k,structural,all,0.3,30,0.01181695999833229,0.01138428043976807,0.8666666666666667,0.09560968870758889,0.9829435843201981
harp-contribution-subspace-poc-v1-2026-08-12,trace_math500_qwenmath15b_k10,math500,entropy_level,all,0.3,30,0.003965428694180031,0.010085277491398358,0.6666666666666666,0.14984436551712943,0.9822866642180638
harp-contribution-subspace-poc-v1-2026-08-12,trace_math500_qwenmath15b_k10,math500,entropy_dynamics,all,0.3,30,-0.07416627834454297,0.009973471255951986,0.0,0.14984436551712943,0.9822866642180638
harp-contribution-subspace-poc-v1-2026-08-12,trace_math500_qwenmath15b_k10,math500,sampled_token_energy,all,0.3,30,-0.015970002121406833,0.018388668375258214,0.23333333333333334,0.14984436551712943,0.9822866642180638
harp-contribution-subspace-poc-v1-2026-08-12,trace_math500_qwenmath15b_k10,math500,partition_energy,all,0.3,30,0.092106794897766,0.013177631414423076,1.0,0.14984436551712943,0.9822866642180638
harp-contribution-subspace-poc-v1-2026-08-12,trace_math500_qwenmath15b_k10,math500,topk_distribution,all,0.3,30,0.03728740544670286,0.009573828316557557,1.0,0.14984436551712943,0.9822866642180638
