cell,contract,diagnostic,feature_a,feature_b,value,effective_rank,layer_distance
gsm8k_t1.0,resid-core-32,layer_correlation,7,15,0.1393658153905062,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,16,0.15195743266125802,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,17,0.09871784692210371,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,18,0.05100698006385244,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,19,0.11565144002398535,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,20,0.05448603909040101,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,21,0.10947370874459465,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,22,0.02127590578931968,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,23,0.04011310093648903,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,24,0.05586452274887364,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,25,0.05808794323074279,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,26,0.00809738404396371,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,27,-0.04559279324907135,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,28,-0.10224473279375747,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,29,-0.2279981500003946,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,30,-0.3166288823511925,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,7,31,-0.36483269857314754,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,0,0.19654729095846735,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,1,0.19092368903877147,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,2,0.28844251646670377,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,3,0.3953899940389065,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,4,0.43587724591603133,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,5,0.43017363708943124,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,6,0.5923010630172425,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,7,0.6580715568292393,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,8,0.9999999999999999,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,9,0.6166744333793396,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,10,0.5121833177667963,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,11,0.5231947642876842,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,12,0.5306373286244945,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,13,0.4425485965086184,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,14,0.4252363222543404,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,15,0.21489604019692965,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,16,0.23320150564430434,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,17,0.20851729244993533,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,18,0.1412407267447047,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,19,0.17760540409453643,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,20,0.14258134174348372,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,21,0.1611549288146843,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,22,0.12182058257426788,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,23,0.11823149238724771,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,24,0.1427025653804058,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,25,0.14589597640662819,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,26,0.13566356873077887,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,27,0.07980981132249583,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,28,0.042537230002865196,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,29,-0.08304456920526652,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,30,-0.20916021396587486,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,8,31,-0.3177548815794381,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,9,0,0.32852998358030605,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,9,1,0.3206217619822013,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,9,2,0.37559629478147155,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,9,3,0.452441486847487,5.740438404543392,
gsm8k_t1.0,resid-core-32,layer_correlation,9,4,0.40098003737625054,5.740438404543392,
