geometry_id,selector,trust_class,actuator,lambda_is_a_cross_parameter,mean_pp,ci_pp,positive_groups,worst_group_pp
residual_mutual_k7,max_mean,v1,full,True,0.08973696252582385,"[-0.13378237344634827, 0.30744290482427605]",4,-0.4479485827677876
residual_mutual_k7,max_mean,v1,cross,False,0.01947484833651258,"[-0.15842218237496763, 0.16262976792539574]",4,-0.5168964509412066
residual_mutual_k7,max_mean,expanded,full,True,0.08973696252582385,"[-0.13380086524598533, 0.30744290482427605]",4,-0.4479485827677876
residual_mutual_k7,max_mean,expanded,cross,False,0.01947484833651258,"[-0.15862951706644313, 0.16262976792539574]",4,-0.5168964509412066
contribution_union_k7,one_se,canonical,full,True,0.40817237042860016,"[0.15809873798114504, 0.6380177802582909]",6,-0.12897714170550706
contribution_union_k7,one_se,canonical,cross,False,0.3233680088026522,"[0.12015286230389888, 0.5262726711355107]",7,-0.10870163764333807
contribution_union_k7,one_se,v1,full,True,0.40817237042860016,"[0.15970066125154558, 0.639184938058587]",6,-0.12897714170550706
contribution_union_k7,one_se,v1,cross,False,0.3233680088026522,"[0.11862619865445961, 0.5276887071932376]",7,-0.10870163764333807
contribution_union_k7,one_se,expanded,full,True,0.40817237042860016,"[0.15914249745706036, 0.6392835056252655]",6,-0.12897714170550706
contribution_union_k7,one_se,expanded,cross,False,0.3233680088026522,"[0.11933673622752244, 0.5262726711355107]",7,-0.10870163764333807
