conditioning,loading_estimator,weighting,test_set,test_set_code,auroc
no conditioning,robust re-weighted fit,weight by signal over noise,TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.7861748890069268
no conditioning,robust re-weighted fit,weight by signal over noise,TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.8826666666666667
no conditioning,robust re-weighted fit,weight by signal over noise,GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8056702898550725
no conditioning,robust re-weighted fit,weight by signal over noise,MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6883041772271009
no conditioning,robust re-weighted fit,weight by signal over noise,TruthfulQA / Llama-8B,truthfulqa_llama8b,0.6765802946627695
random-matrix cleaning,leading eigenvector (current),weight by signal (current),GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.7219416612798966
random-matrix cleaning,leading eigenvector (current),weight by signal (current),TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7446695095948828
random-matrix cleaning,leading eigenvector (current),weight by signal (current),CoQA / Llama-7B,inside_coqa_llama7b,0.5303958789087381
random-matrix cleaning,leading eigenvector (current),weight by signal (current),GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.7101038715769593
random-matrix cleaning,leading eigenvector (current),weight by signal (current),GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.6942218002066635
random-matrix cleaning,leading eigenvector (current),weight by signal (current),GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.8181199455520858
random-matrix cleaning,leading eigenvector (current),weight by signal (current),GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8460156190765031
random-matrix cleaning,leading eigenvector (current),weight by signal (current),GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.7998578102782855
random-matrix cleaning,leading eigenvector (current),weight by signal (current),GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.8097615678316825
random-matrix cleaning,leading eigenvector (current),weight by signal (current),HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5725164911778902
random-matrix cleaning,leading eigenvector (current),weight by signal (current),MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7897624720236807
random-matrix cleaning,leading eigenvector (current),weight by signal (current),MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.8938894523326572
random-matrix cleaning,leading eigenvector (current),weight by signal (current),MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8368832862421213
random-matrix cleaning,leading eigenvector (current),weight by signal (current),MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8228480687497082
random-matrix cleaning,leading eigenvector (current),weight by signal (current),GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7855671383047698
