domain,group,cell,method,auroc,auprc,delta_vs_iu_pp,nrm_delta_pp
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_02,0.7692172911816976,0.7152440404820954,-0.42802432980401095,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_03,0.7776526244649695,0.7374776762908971,0.4155089985231841,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_04,0.7685664939550949,0.7156192835386007,-0.49310405246427713,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_05,0.7670396235388349,0.7121118733472459,-0.6457910940902756,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_06,0.758529198267878,0.7002352818981468,-1.4968336211859667,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_07,0.7784786363295035,0.73073673404884,0.49811018497658566,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_08,0.7659132437235614,0.7117583073097048,-0.7584290756176282,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_09,0.761933368376261,0.7073426806356774,-1.1564166103476659,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_10,0.7651122625215889,0.7085340075077384,-0.8385271958148754,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_11,0.7622087056644389,0.7082344262762928,-1.1288828815298801,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_12,0.7762008460363945,0.7328878292010179,0.2703311556656818,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_13,0.7779279617531476,0.732222275750268,0.44304272734099204,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_14,0.7800305374083252,0.7275579680811988,0.6533002928587495,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_15,0.7769017045881205,0.7334019902983111,0.3404170108382787,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_16,0.7773272258516682,0.7316542486864182,0.3829691371930566,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_17,0.761582939100398,0.7047624306386109,-1.1914595379339699,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_18,0.7648869865585342,0.7115220703651176,-0.8610547921203526,2.643237966508971
processbench_llama,gsm8k,llama31_8b__gsm8k,node_permuted_19,0.7678656354033692,0.719205511310813,-0.5631899076368518,2.643237966508971
processbench_llama,math,llama31_8b__math,iu,0.7864440795475278,0.6965289685739393,0.0,0.7248179661972665
processbench_llama,math,llama31_8b__math,primary_one_se,0.7904579456303594,0.702939641046591,0.40138660828316075,0.7248179661972665
processbench_llama,math,llama31_8b__math,max_mean_sensitivity,0.7926556202418271,0.7096400826521948,0.62115406942993,0.7248179661972665
processbench_llama,math,llama31_8b__math,dufs_graph,0.7855608631470701,0.6957271762707212,-0.08832164004577425,0.7248179661972665
processbench_llama,math,llama31_8b__math,contribution_graph,0.7901054883813503,0.7043301235465023,0.3661408833822488,0.7248179661972665
processbench_llama,math,llama31_8b__math,equal_cell_pooling,0.7903169627307558,0.7029591017868357,0.3872883183227982,0.7248179661972665
processbench_llama,math,llama31_8b__math,cross_only,0.7904994111890663,0.7030115587598784,0.40553316415384844,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_00,0.7858138030551824,0.6976029103660312,-0.06302764923453719,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_01,0.7849430263223367,0.6932426428601577,-0.1501053225191118,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_02,0.7855152510324924,0.6962624347710648,-0.09288285150353959,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_03,0.7865601831119072,0.6969294494016341,0.01161035643794106,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_04,0.7857184322701565,0.6955018377540022,-0.0725647277371344,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_05,0.7845076379559137,0.6943301515491617,-0.1936441591614102,0.7248179661972665
processbench_llama,math,llama31_8b__math,node_permuted_06,0.7778192433364848,0.6820898705219025,-0.8624836211043041,0.7248179661972665
