cell,feature,n_all,n_defect_free,population,pos_all,pos_defect_free,nonmono_gain_all,nonmono_gain_defect_free,folded_gain_all,folded_gain_defect_free
seiclr_triviaqa_opt30b,topk_tail_mass,5000,5000,all rows (no known defect),0.4648,0.4648,-0.0216,-0.0216,-0.0216,-0.0216
semenergy_triviaqa_qwen3_8b,epr,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0159,-0.0159,-0.0159,-0.0159
semenergy_triviaqa_qwen3_8b,trace_length,4392,4392,all rows (no known defect),0.4768,0.4768,-0.005,-0.005,-0.005,-0.005
semenergy_triviaqa_qwen3_8b,spectral_entropy,4392,4392,all rows (no known defect),0.4768,0.4768,0.0492,0.0492,0.0492,0.0492
semenergy_triviaqa_qwen3_8b,low_band_power,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0137,-0.0137,-0.0137,-0.0137
semenergy_triviaqa_qwen3_8b,high_band_power,4392,4392,all rows (no known defect),0.4768,0.4768,0.0173,0.0173,0.0173,0.0173
semenergy_triviaqa_qwen3_8b,hl_ratio,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0093,-0.0093,-0.0093,-0.0093
semenergy_triviaqa_qwen3_8b,dominant_freq,4392,4392,all rows (no known defect),0.4768,0.4768,0.0155,0.0155,0.0155,0.0155
semenergy_triviaqa_qwen3_8b,spectral_centroid,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0041,-0.0041,-0.0041,-0.0041
semenergy_triviaqa_qwen3_8b,rpdi,4392,4392,all rows (no known defect),0.4768,0.4768,0.0553,0.0553,0.0553,0.0553
semenergy_triviaqa_qwen3_8b,sw_var_peak,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0198,-0.0198,-0.0198,-0.0198
semenergy_triviaqa_qwen3_8b,pe_mean,4392,4392,all rows (no known defect),0.4768,0.4768,0.0782,0.0782,0.0782,0.0782
semenergy_triviaqa_qwen3_8b,hurst_exponent,4392,4392,all rows (no known defect),0.4768,0.4768,0.009,0.009,0.009,0.009
semenergy_triviaqa_qwen3_8b,cusum_max,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0156,-0.0156,-0.0156,-0.0156
semenergy_triviaqa_qwen3_8b,cusum_shift_idx,4392,4392,all rows (no known defect),0.4768,0.4768,0.0345,0.0345,0.0345,0.0345
semenergy_triviaqa_qwen3_8b,epr_spilled,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0206,-0.0206,-0.0206,-0.0206
semenergy_triviaqa_qwen3_8b,sw_var_peak_spilled,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0164,-0.0164,-0.0164,-0.0164
semenergy_triviaqa_qwen3_8b,cusum_max_spilled,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0166,-0.0166,-0.0166,-0.0166
semenergy_triviaqa_qwen3_8b,epr_energy,4392,4392,all rows (no known defect),0.4768,0.4768,0.0936,0.0936,0.0936,0.0936
semenergy_triviaqa_qwen3_8b,min_energy,4392,4392,all rows (no known defect),0.4768,0.4768,0.0176,0.0176,0.0176,0.0176
semenergy_triviaqa_qwen3_8b,sw_var_peak_energy,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0165,-0.0165,-0.0165,-0.0165
semenergy_triviaqa_qwen3_8b,cusum_max_energy,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0129,-0.0129,-0.0129,-0.0129
semenergy_triviaqa_qwen3_8b,mean_top1_logprob,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0163,-0.0163,-0.0163,-0.0163
semenergy_triviaqa_qwen3_8b,logprob_margin,4392,4392,all rows (no known defect),0.4768,0.4768,0.0101,0.0101,0.0101,0.0101
semenergy_triviaqa_qwen3_8b,mean_logprob_entropy,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0173,-0.0173,-0.0173,-0.0173
semenergy_triviaqa_qwen3_8b,varentropy,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0208,-0.0208,-0.0208,-0.0208
semenergy_triviaqa_qwen3_8b,renyi_entropy_2,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0161,-0.0161,-0.0161,-0.0161
semenergy_triviaqa_qwen3_8b,topk_tail_mass,4392,4392,all rows (no known defect),0.4768,0.4768,-0.0077,-0.0077,-0.0077,-0.0077
