file,cell,variant,auroc_now,auroc_csv,delta,K_now,K_csv,p_pool_csv,p_pool_now,stale
a1_residual__c46.csv,losnet_hotpotqa_mistral7b,a1.good5+K_kn,0.5753946262893509,0.5714796474731404,0.0039149788162105015,2,3,29,29,True
a1_residual__c46.csv,losnet_hotpotqa_mistral7b,a1.minres+K_ah,0.5332415667065911,0.5332415667065911,0.0,2,2,29,29,False
a1_residual__c46.csv,noise_gsm8k_mistral7b,a1.relres_greedy,0.7883721357986655,0.7883721357986655,0.0,2,2,29,29,False
a1_residual__c46.csv,noise_gsm8k_mistral7b,a1.upcrres_greedy,0.786208609043128,0.786208609043128,0.0,4,4,29,29,False
a1_residual__c46.csv,noise_gsm8k_mistral7b,a1.good5+K_ah,0.7850751141542013,0.7850751141542013,0.0,2,2,29,29,False
a1_residual__c46.csv,noise_gsm8k_mistral7b,a1.good5+K_kn,0.7850751141542013,0.7818240760752108,0.0032510380789905202,2,4,29,29,True
a1_residual__c46.csv,noise_gsm8k_mistral7b,a1.minres+K_ah,0.7883721357986655,0.7883721357986655,0.0,2,2,29,29,False
a1_residual__c46.csv,noise_gsm8k_phi3mini,a1.relres_greedy,0.6422753341813394,0.6422753341813394,0.0,2,2,29,29,False
a1_residual__c46.csv,noise_gsm8k_phi3mini,a1.upcrres_greedy,0.6677322532413916,0.6677322532413916,0.0,2,2,29,29,False
a1_residual__c46.csv,noise_gsm8k_phi3mini,a1.good5+K_ah,0.6642509651648033,0.6552576376336168,0.008993327531186535,2,3,29,29,True
a1_residual__c46.csv,noise_gsm8k_phi3mini,a1.good5+K_kn,0.6642509651648033,0.6480663230010488,0.01618464216375448,2,4,29,29,True
a1_residual__c46.csv,noise_gsm8k_phi3mini,a1.minres+K_ah,0.6422753341813394,0.6422753341813394,0.0,2,2,29,29,False
a1_residual__c46.csv,sciq_llama8b,a1.relres_greedy,0.6682237666628689,0.6682237666628689,0.0,2,2,30,30,False
a1_residual__c46.csv,sciq_llama8b,a1.upcrres_greedy,0.7361285177167597,0.7361285177167597,0.0,2,2,30,30,False
a1_residual__c46.csv,sciq_llama8b,a1.good5+K_ah,0.7380653981998404,0.7380653981998404,0.0,2,2,30,30,False
a1_residual__c46.csv,sciq_llama8b,a1.good5+K_kn,0.7380653981998404,0.7380653981998404,0.0,2,2,30,30,False
a1_residual__c46.csv,sciq_llama8b,a1.minres+K_ah,0.6682237666628689,0.6682237666628689,0.0,2,2,30,30,False
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.minres_exh_s4,0.6937015190691662,0.6937015056610107,1.3408155474792238e-08,3,3,16,16,False
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.minres_exh_s5,0.6971355850032321,0.6971355676651001,1.733813204118917e-08,4,4,16,16,False
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.minres_exh_s6,0.7244667097608273,0.7244666814804077,2.8280419561710346e-08,4,4,16,16,False
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.minres_exh_adapt,0.7507070135746606,0.7507070302963257,-1.6721665052621404e-08,2,2,16,16,False
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.relres_exh_s4,0.6937015190691662,0.6937015056610107,1.3408155474792238e-08,3,3,16,16,False
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.relres_exh_s5,0.7300622171945701,0.7300622463226318,-2.9128061740379962e-08,3,3,16,16,False
a1_residual__h16.csv,ars_gsm8k_r1distill8b,a1.relres_exh_s6,0.7244667097608273,0.7244666814804077,2.8280419561710346e-08,4,4,16,16,False
