auroc,budget,cell_id,eligibility,error_auprc,error_prevalence,final_auroc_same_cohort,method_id,n,n_correct,n_error,ordered_id_sha256,population_id,positive_class,prevalence_normalized_ap,recovered_above_chance_signal
0.6265400962508476,128,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.6183759801786809,0.5142276422764228,0.6978021069343608,iu28_no_length,492,239,253,81db785341c0afa9a39b9d8fa79a06da7acdbedffabf924e4beaf26371a283dd,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.21439741526322587,0.639730780485766
0.6319672974084739,256,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.6505174092523509,0.5566750629722922,0.6790929658576718,iu28_no_length,397,176,221,77502f458a76aa52f59b3b9e708a4fa7768bf5ab7772e246de20eb31a3c05cd9,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.21167847427945063,0.7368647717484927
0.5918032786885246,512,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.6996414048398555,0.6629834254143646,0.6234972677595628,iu28_no_length,181,61,120,93d317bc5a2b9db994742635b7ecc47e6980acf1b97c8fcfe128427b1af315c5,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.10877203731170242,0.7433628318584069
0.5717595747580755,16,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.566494193245999,0.5077821011673151,0.7024669483440098,max_entropy,514,253,261,d8c9868f6437ab66ec3f68ac9db40dcea795427da2c400acf29d7b1fbce2c93d,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.11928069299780046,0.35442611915180067
0.580558205745612,32,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.5795367158590815,0.5077821011673151,0.7024669483440098,max_entropy,514,253,261,d8c9868f6437ab66ec3f68ac9db40dcea795427da2c400acf29d7b1fbce2c93d,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.14577815000619726,0.39788324170687
0.5838645418326693,64,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.5979315534767425,0.5088062622309197,0.6993717437940545,max_entropy,511,251,260,2272b7c330fcfe7780da0f97089171647663170380ac3bc46bf6eb6dfce7da97,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.18144631006619702,0.42064407040196766
0.6090098731539517,128,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.6093006241858708,0.5142276422764228,0.6939983792812608,max_entropy,492,239,253,81db785341c0afa9a39b9d8fa79a06da7acdbedffabf924e4beaf26371a283dd,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.1957150924663114,0.5619112569796683
0.6347696421225832,256,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.6521843343592048,0.5566750629722922,0.6778846153846154,max_entropy,397,176,221,77502f458a76aa52f59b3b9e708a4fa7768bf5ab7772e246de20eb31a3c05cd9,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.21543852693525165,0.7576239340945219
0.5755464480874317,512,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.6873459247240018,0.6629834254143646,0.628551912568306,max_entropy,181,61,120,93d317bc5a2b9db994742635b7ecc47e6980acf1b97c8fcfe128427b1af315c5,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.07228872745974312,0.5876726886291181
0.5788772280526403,16,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.5796822469659494,0.5077821011673151,0.63968015992004,mean_entropy,514,253,261,d8c9868f6437ab66ec3f68ac9db40dcea795427da2c400acf29d7b1fbce2c93d,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.14607381399406325,0.5646988670244479
0.5806339254615117,32,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.5865130971470004,0.5077821011673151,0.63968015992004,mean_entropy,514,253,261,d8c9868f6437ab66ec3f68ac9db40dcea795427da2c400acf29d7b1fbce2c93d,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.15995150961880716,0.5772754377405542
0.6239809990806007,64,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.6496424735988942,0.5088062622309197,0.6412810297272449,mean_entropy,511,251,260,2272b7c330fcfe7780da0f97089171647663170380ac3bc46bf6eb6dfce7da97,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.2867223267292228,0.8775488069414316
0.6299469131923198,128,processbench@e8024636bcab::llama31_8b::math,final_length_strictly_greater_than_budget,0.6546108420543427,0.5142276422764228,0.6452279755899912,mean_entropy,492,239,253,81db785341c0afa9a39b9d8fa79a06da7acdbedffabf924e4beaf26371a283dd,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66,error/risk,0.28898968322483937,0.8947787963332005
