variant,pool_mode,n_cells,macro_auroc,macro_repgrid,delta_vs_good5,wilcoxon_p,wins,ties,losses,sign_p,mean_pctile,frac_cells_above_random,gap_captured,gap_captured_rag_gpqa,n_nan_auroc,n_fallback,mean_size,mean_seconds,G_floor,G_macro,G_domain
random_s5,h16,57,0.6271,0.6751,-0.0458,0.0,10,0,41,1e-05,45.58,0.392,-0.658,-0.443,0,0,5.0,0.002,FAIL,FAIL,FAIL
mad_s6,h16,57,0.6264,0.649,-0.0465,1e-05,12,0,39,0.0002,48.91,0.49,-0.477,-0.207,0,0,6.0,0.002,FAIL,FAIL,FAIL
mcfs_s5,h16,57,0.6229,0.6608,-0.05,0.0,12,0,39,0.0002,44.31,0.412,-0.566,-0.365,0,0,5.0,0.132,FAIL,FAIL,FAIL
mcfs_s6,h16,57,0.6225,0.6788,-0.0504,1e-05,12,0,39,0.0002,45.96,0.412,-0.567,-0.233,0,0,6.0,0.132,FAIL,FAIL,FAIL
a4.recon_s4,h16,57,0.6218,0.6574,-0.0511,0.0,11,0,40,6e-05,53.63,0.588,-0.55,-0.188,0,0,4.0,0.052,PASS,FAIL,FAIL
a3.cae_k6,h16,57,0.6214,0.6817,-0.0515,0.0,5,0,46,0.0,45.63,0.471,-0.659,-0.402,0,0,6.0,51.017,FAIL,FAIL,FAIL
mcfs_s4,h16,57,0.62,0.654,-0.0529,0.0,10,0,41,1e-05,46.17,0.431,-0.579,-0.351,0,0,4.0,0.132,FAIL,FAIL,FAIL
a1.minres_exh_s6,h16,51,0.6199,0.6604,-0.053,0.0,6,0,45,0.0,45.45,0.431,-0.669,-0.409,0,0,6.0,15.694,FAIL,FAIL,FAIL
a1.relres_greedy,h16,57,0.6198,0.6804,-0.0531,0.0,9,0,42,0.0,47.4,0.51,-0.66,-0.411,0,0,3.04,15.168,FAIL,FAIL,FAIL
a1.router@minres,h16,57,0.6191,0.6801,-0.0538,0.0,9,0,42,0.0,49.71,0.568,-0.66,-0.41,0,0,3.04,15.168,FAIL,FAIL,FAIL
a1.minres_exh_adapt,h16,51,0.6177,0.6718,-0.0552,0.0,9,0,42,0.0,51.69,0.569,-0.638,-0.398,0,0,3.33,15.694,PASS,FAIL,FAIL
a1.relres_exh_adapt,h16,51,0.6164,0.6728,-0.0565,0.0,10,0,41,1e-05,51.75,0.569,-0.644,-0.431,0,0,3.2,15.694,PASS,FAIL,FAIL
a1.relres_exh_s4,h16,51,0.6163,0.6616,-0.0566,0.0,7,0,44,0.0,49.0,0.51,-0.624,-0.328,0,0,4.0,15.694,FAIL,FAIL,FAIL
a4.recon_adapt,h16,57,0.6161,0.6629,-0.0569,1e-05,13,0,38,0.00062,50.09,0.51,-0.566,-0.296,0,0,5.63,0.052,PASS,FAIL,FAIL
a1.minres+K_ah,h16,57,0.616,0.6805,-0.0569,0.0,8,0,43,0.0,,,-0.68,-0.44,0,0,3.04,15.168,n/a,FAIL,FAIL
a4.recon_s6,h16,57,0.6151,0.6698,-0.0578,0.0,9,0,42,0.0,47.18,0.431,-0.576,-0.312,0,0,6.0,0.052,FAIL,FAIL,FAIL
mad_s5,h16,57,0.6143,0.6474,-0.0586,0.0,12,0,39,0.0002,45.22,0.431,-0.497,-0.172,0,0,5.0,0.002,FAIL,FAIL,FAIL
mcfs_adapt,h16,57,0.6137,0.6633,-0.0592,1e-05,14,0,37,0.00177,46.66,0.431,-0.541,-0.219,0,0,5.07,0.132,FAIL,FAIL,FAIL
random_s4,h16,57,0.6129,0.6637,-0.0601,0.0,6,0,45,0.0,49.15,0.451,-0.553,-0.31,0,0,4.0,0.002,FAIL,FAIL,FAIL
a1.relres_exh_s6,h16,51,0.6126,0.6644,-0.0603,0.0,7,0,44,0.0,45.11,0.431,-0.651,-0.284,0,0,6.0,15.694,FAIL,FAIL,FAIL
a1.minres_exh_s4,h16,51,0.6112,0.6576,-0.0617,0.0,6,0,45,0.0,48.94,0.529,-0.632,-0.403,0,0,4.0,15.694,FAIL,FAIL,FAIL
