split,held_group,cell,family,domain,n,error_rate,method,auroc,error_auprc
family,gsm8k,noise_gsm8k_phi3mini,gsm8k,math,1319,0.29037149355572406,ppca_manifold_k4,0.6136523398272746,0.41781832380467443
family,gsm8k,noise_gsm8k_phi3mini,gsm8k,math,1319,0.29037149355572406,knn_manifold_k5,0.6578630247037558,0.45751877030953647
family,gsm8k,trace_gsm8k_llama8b_k10,gsm8k,math,5000,0.264,epr_risk,0.78652215085639,0.664261905062703
family,gsm8k,trace_gsm8k_llama8b_k10,gsm8k,math,5000,0.264,mean_confidence_risk,0.8020958909749669,0.6797014008604549
family,gsm8k,trace_gsm8k_llama8b_k10,gsm8k,math,5000,0.264,iu_pcr_risk,0.813582839262187,0.6908016512228983
family,gsm8k,trace_gsm8k_llama8b_k10,gsm8k,math,5000,0.264,shared_direction,0.8037744976943346,0.6829096242778496
family,gsm8k,trace_gsm8k_llama8b_k10,gsm8k,math,5000,0.264,balanced_logistic,0.8057837203557312,0.6879240223999213
family,gsm8k,trace_gsm8k_llama8b_k10,gsm8k,math,5000,0.264,ppca_manifold_k4,0.776975872859025,0.6371638170869403
family,gsm8k,trace_gsm8k_llama8b_k10,gsm8k,math,5000,0.264,knn_manifold_k5,0.8013379034914361,0.6416441129457415
family,math500,math500_dsmath7b,math500,math,300,0.81,epr_risk,0.7706302794022094,0.9309949759160233
family,math500,math500_dsmath7b,math500,math,300,0.81,mean_confidence_risk,0.814092845281929,0.9455481893812517
family,math500,math500_dsmath7b,math500,math,300,0.81,iu_pcr_risk,0.7873077756118692,0.9403793094828357
family,math500,math500_dsmath7b,math500,math,300,0.81,shared_direction,0.808389285972132,0.9442843216418847
family,math500,math500_dsmath7b,math500,math,300,0.81,balanced_logistic,0.7930113349216662,0.9322819319076711
family,math500,math500_dsmath7b,math500,math,300,0.81,ppca_manifold_k4,0.6595913652443867,0.884325575370919
family,math500,math500_dsmath7b,math500,math,300,0.81,knn_manifold_k5,0.8009529997834091,0.9416432075964577
family,math500,math500_qwenmath7b,math500,math,300,0.7733333333333333,epr_risk,0.9305907707910751,0.9717603839432525
family,math500,math500_qwenmath7b,math500,math,300,0.7733333333333333,mean_confidence_risk,0.9203220081135902,0.9630239049609186
family,math500,math500_qwenmath7b,math500,math,300,0.7733333333333333,iu_pcr_risk,0.8994675456389453,0.9393894287832486
family,math500,math500_qwenmath7b,math500,math,300,0.7733333333333333,shared_direction,0.9162652129817445,0.9601009919466104
family,math500,math500_qwenmath7b,math500,math,300,0.7733333333333333,balanced_logistic,0.8924315415821501,0.948152052161074
family,math500,math500_qwenmath7b,math500,math,300,0.7733333333333333,ppca_manifold_k4,0.4523960446247464,0.7301055968900529
family,math500,math500_qwenmath7b,math500,math,300,0.7733333333333333,knn_manifold_k5,0.9196247464503043,0.9611428277253771
family,math500,math500_r1distill8b,math500,math,300,0.7133333333333334,epr_risk,0.821832210389046,0.9117662295388658
family,math500,math500_r1distill8b,math500,math,300,0.7133333333333334,mean_confidence_risk,0.8318843729623995,0.9137942155107823
family,math500,math500_r1distill8b,math500,math,300,0.7133333333333334,iu_pcr_risk,0.8320473810041294,0.9144179881177552
family,math500,math500_r1distill8b,math500,math,300,0.7133333333333334,shared_direction,0.8300912845033688,0.9132788110165163
family,math500,math500_r1distill8b,math500,math,300,0.7133333333333334,balanced_logistic,0.8327537491849597,0.898430747694419
family,math500,math500_r1distill8b,math500,math,300,0.7133333333333334,ppca_manifold_k4,0.7179417517930884,0.8147593731528473
family,math500,math500_r1distill8b,math500,math,300,0.7133333333333334,knn_manifold_k5,0.8339491414909803,0.9066668069220472
family,math500,math500_r1distill8b_mn4096,math500,math,300,0.61,epr_risk,0.8190182616412125,0.8743907214182562
family,math500,math500_r1distill8b_mn4096,math500,math,300,0.61,mean_confidence_risk,0.8390546915137079,0.8851281649443181
family,math500,math500_r1distill8b_mn4096,math500,math,300,0.61,iu_pcr_risk,0.8317687170146185,0.87092868479578
family,math500,math500_r1distill8b_mn4096,math500,math,300,0.61,shared_direction,0.8331698659567512,0.8740114510911317
family,math500,math500_r1distill8b_mn4096,math500,math,300,0.61,balanced_logistic,0.8258371864929241,0.859340797799834
family,math500,math500_r1distill8b_mn4096,math500,math,300,0.61,ppca_manifold_k4,0.7133716314044184,0.7675532116974421
family,math500,math500_r1distill8b_mn4096,math500,math,300,0.61,knn_manifold_k5,0.8026715239829993,0.8388953846459378
family,math500,trace_math500_qwenmath15b_k10,math500,math,3000,0.8236666666666667,epr_risk,0.672394100488158,0.9015383293327419
family,math500,trace_math500_qwenmath15b_k10,math500,math,3000,0.8236666666666667,mean_confidence_risk,0.6886706207890547,0.9058940258268144
family,math500,trace_math500_qwenmath15b_k10,math500,math,3000,0.8236666666666667,iu_pcr_risk,0.6863625618612579,0.9051096054553844
family,math500,trace_math500_qwenmath15b_k10,math500,math,3000,0.8236666666666667,shared_direction,0.6891502869964558,0.9062715065126968
family,math500,trace_math500_qwenmath15b_k10,math500,math,3000,0.8236666666666667,balanced_logistic,0.6907124534964759,0.9005077312017339
family,math500,trace_math500_qwenmath15b_k10,math500,math,3000,0.8236666666666667,ppca_manifold_k4,0.6747289350415673,0.8968120637556112
family,math500,trace_math500_qwenmath15b_k10,math500,math,3000,0.8236666666666667,knn_manifold_k5,0.6911385684526519,0.9049899039263478
cell,epr_triviaqa_mistral24b,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,epr_risk,0.7375014027606328,0.47798731654215254
cell,epr_triviaqa_mistral24b,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,mean_confidence_risk,0.7456374144316015,0.4644045660213744
cell,epr_triviaqa_mistral24b,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,iu_pcr_risk,0.7444310402872854,0.4493268925077124
cell,epr_triviaqa_mistral24b,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,shared_direction,0.7456935248569183,0.4724635705217865
cell,epr_triviaqa_mistral24b,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,balanced_logistic,0.7345415778251599,0.4344318867390795
cell,epr_triviaqa_mistral24b,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,ppca_manifold_k4,0.7317921669846258,0.44747192812453523
cell,epr_triviaqa_mistral24b,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,knn_manifold_k5,0.7477836381999776,0.45712684419005706
