candidate,discovery_macro_auroc,confirmation_macro_auroc,all_macro_auroc,all_macro_auprc,mean_n_kept,fallback_cells
kl_to_final__cvar80__spread4_p1,0.7747553019489387,0.7577511774656542,0.7655992349194778,0.6275891889029493,4.923076923076923,1
kl_to_final__q90__spread8_p1,0.7746681321928152,0.7574125865799166,0.7653766845551006,0.6281258713128643,4.923076923076923,1
kl_to_final__q90__organic_top8_p1,0.7746538449303889,0.7554379022942675,0.7643067988955546,0.6277923894566629,4.923076923076923,1
kl_to_final__std__flat_top8_p1,0.7746340915649289,0.7570929515318783,0.7651888623163632,0.6243370541155795,4.923076923076923,1
target_excess_over_entropy__std__spread4_p1,0.7746292349206604,0.760469073386237,0.767004532555971,0.6294001023603241,4.923076923076923,1
top1_surprisal__max__organic_all_p1,0.7745496736830403,0.7628819106755328,0.768267032063613,0.6264812291265696,4.846153846153846,2
target_gap__cvar80__organic_top8_p1,0.7745383046898785,0.7571547221449905,0.7651779140887849,0.6292907873368576,5.0,0
entropy_excess_over_top1__mean__organic_top8_p1,0.7744947697021823,0.7582073488186616,0.7657246199956713,0.6242722730171185,4.923076923076923,1
target_gap__q90__flat_top5_p1,0.7744585854479672,0.7620191241901971,0.7677604140014757,0.6326850174133577,5.0,0
entropy__q90__organic_top8_p1,0.7744023464484053,0.7568644778384145,0.7649588787353334,0.6241820531509082,4.923076923076923,1
kl_to_final__max__flat_top3_p2,0.7743754583734531,0.7629990189534671,0.7682496833011532,0.6245348526553,4.615384615384615,5
target_nll__max__organic_top8_p1,0.7743260428290778,0.7641982565802474,0.7688726194643232,0.6293412110207718,4.923076923076923,1
top1_surprisal__mean__organic_all_p1,0.7742873890962932,0.7543179105146506,0.7635345929369473,0.6247055704870809,4.923076923076923,1
top1_surprisal__q90__organic_top8_p1,0.7742814752218266,0.7531587402992467,0.762907694878899,0.6233299538436293,5.0,0
entropy__cvar80__organic_all_p1,0.7742363985883275,0.7591442401333361,0.7661098517279475,0.6293449195892702,5.0,0
top1_surprisal__mean__spread8_p1,0.7740769164642075,0.7544802124038147,0.7635248450470727,0.6234749679104943,4.923076923076923,1
top1_surprisal__cvar80__organic_all_p1,0.7740255804782787,0.7516700108057943,0.7619879660392488,0.6244006467565593,4.923076923076923,1
top1_surprisal__mean__organic_top8_p1,0.7739652046267111,0.7518884520322694,0.7620777224604735,0.6230467765946437,4.923076923076923,1
target_gap__std__flat_top8_p1,0.7739371827035115,0.75954364907815,0.7661868184437014,0.6313386849348182,4.923076923076923,1
