method,environment,held_out_feature,partner_feature,actual,prediction,squared_error
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,sw_var_peak_spilled,-0.04664661574607848,-0.07138274596984129,0.000611876138446952
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,cusum_max_spilled,0.18773057965539214,-0.15182289117236247,0.11529655955117481
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,min_spilled,0.11013045145203981,0.006316322444595644,0.01077737338157426
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,epr_energy,-0.4811619474404309,-0.23357402647973274,0.06129977860564091
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,min_energy,-0.11764651872589427,-0.0199243047557057,0.009549631103235319
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,sw_var_peak_energy,-0.09241762345717489,0.035531598385086266,0.016371003370040157
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,cusum_max_energy,0.26142952583639717,-0.005909198647050246,0.07146999360843662
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,mean_top1_logprob,-0.5623996322777561,-0.409268600153868,0.023449112999327257
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,logprob_margin,-0.5408982636726286,-0.2555268220441059,0.08143685969714136
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,mean_logprob_entropy,-0.5801428889094955,-0.4294956176911849,0.02269460032552324
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,varentropy,-0.559227963855338,-0.37547177799955245,0.03376633584026601
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,renyi_entropy_2,-0.5716026961181498,-0.42102726454446004,0.02267296059360294
missing_pca_full,ars_gsm8k_r1distill8b,hl_ratio,topk_tail_mass,-0.4062834692615459,-0.3659908865919843,0.0016234922181834553
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,epr,-0.3123900965376981,-0.29234334326955413,0.0004018723165938413
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,trace_length,0.1198699778881432,0.05349991355942317,0.004404985438998435
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,spectral_entropy,0.08005713429137867,0.05261890316621219,0.0007528565272780546
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,low_band_power,0.2221812968902468,0.27737809218444015,0.003046686210749086
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,high_band_power,0.04559089613558509,0.23761633211713357,0.03687376806390377
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,hl_ratio,0.19013463522465354,0.25581112347521917,0.004313401108926685
missing_pca_full,ars_gsm8k_r1distill8b,dominant_freq,spectral_centroid,0.20731400466414174,0.3694303115511728,0.02628169695869003
