method,stratum,n,sla_micro_descriptive,longest_step_agreement,mae
top5__errors__hard__ds,error_relative_quarter_4,716,0.3547486033519553,0.3645251396648045,1.973463687150838
top5__errors__hard__hem,steps_2_to_5,1312,0.41539634146341464,0.4923780487804878,0.8734756097560976
top5__errors__hard__hem,steps_6_to_10,2308,0.287261698440208,0.341421143847487,1.7980935875216637
top5__errors__hard__hem,steps_11_plus,822,0.17518248175182483,0.2639902676399027,4.065693430656935
top5__errors__hard__hem,error_relative_quarter_1,1314,0.2343987823439878,0.3508371385083714,2.708523592085236
top5__errors__hard__hem,error_relative_quarter_2,1290,0.3062015503875969,0.3705426356589147,1.6550387596899225
top5__errors__hard__hem,error_relative_quarter_3,1122,0.36363636363636365,0.39928698752228164,1.2878787878787878
top5__errors__hard__hem,error_relative_quarter_4,716,0.3365921787709497,0.3687150837988827,2.0935754189944134
top5__errors__hard__equal,steps_2_to_5,1312,0.31402439024390244,0.4222560975609756,1.142530487804878
top5__errors__hard__equal,steps_6_to_10,2308,0.14818024263431542,0.2456672443674177,2.4878682842287696
top5__errors__hard__equal,steps_11_plus,822,0.07907542579075426,0.23479318734793186,5.100973236009732
top5__errors__hard__equal,error_relative_quarter_1,1314,0.3949771689497717,0.3120243531202435,1.0776255707762556
top5__errors__hard__equal,error_relative_quarter_2,1290,0.09224806201550388,0.27674418604651163,2.083720930232558
top5__errors__hard__equal,error_relative_quarter_3,1122,0.09803921568627451,0.2807486631016043,3.2263814616755795
top5__errors__hard__equal,error_relative_quarter_4,716,0.09916201117318436,0.3240223463687151,5.181564245810056
top5__errors__hard__spectral,steps_2_to_5,1312,0.3277439024390244,0.4405487804878049,1.1196646341463414
top5__errors__hard__spectral,steps_6_to_10,2308,0.1707105719237435,0.2699306759098787,2.3929809358752165
top5__errors__hard__spectral,steps_11_plus,822,0.10462287104622871,0.26034063260340634,4.78345498783455
top5__errors__hard__spectral,error_relative_quarter_1,1314,0.3797564687975647,0.3280060882800609,1.296042617960426
top5__errors__hard__spectral,error_relative_quarter_2,1290,0.12325581395348838,0.30387596899224806,2.0643410852713178
top5__errors__hard__spectral,error_relative_quarter_3,1122,0.13279857397504458,0.3074866310160428,2.963458110516934
top5__errors__hard__spectral,error_relative_quarter_4,716,0.14385474860335196,0.34497206703910616,4.51536312849162
top5__errors__hard__binary_lsml,steps_2_to_5,1312,0.41615853658536583,0.4946646341463415,0.9161585365853658
top5__errors__hard__binary_lsml,steps_6_to_10,2308,0.2751299826689775,0.32712305025996535,1.9098786828422878
top5__errors__hard__binary_lsml,steps_11_plus,822,0.16423357664233576,0.25547445255474455,4.340632603406326
top5__errors__hard__binary_lsml,error_relative_quarter_1,1314,0.3028919330289193,0.3371385083713851,2.380517503805175
top5__errors__hard__binary_lsml,error_relative_quarter_2,1290,0.27596899224806204,0.3550387596899225,1.7310077519379845
top5__errors__hard__binary_lsml,error_relative_quarter_3,1122,0.3137254901960784,0.3787878787878788,1.6720142602495545
top5__errors__hard__binary_lsml,error_relative_quarter_4,716,0.29329608938547486,0.4022346368715084,2.7108938547486034
top5__errors__soft__equal,steps_2_to_5,1312,0.42073170731707316,0.5541158536585366,0.9009146341463414
top5__errors__soft__equal,steps_6_to_10,2308,0.2885615251299827,0.40771230502599654,1.9432409012131715
top5__errors__soft__equal,steps_11_plus,822,0.14476885644768855,0.3223844282238443,4.482968369829684
top5__errors__soft__equal,error_relative_quarter_1,1314,0.3203957382039574,0.4101978691019787,2.295281582952816
top5__errors__soft__equal,error_relative_quarter_2,1290,0.26124031007751936,0.42790697674418604,1.8883720930232557
top5__errors__soft__equal,error_relative_quarter_3,1122,0.3083778966131907,0.4474153297682709,1.7771836007130124
top5__errors__soft__equal,error_relative_quarter_4,716,0.3254189944134078,0.4748603351955307,2.6620111731843576
top5__errors__soft__spectral,steps_2_to_5,1312,0.3711890243902439,0.5045731707317073,1.0335365853658536
top5__errors__soft__spectral,steps_6_to_10,2308,0.20883882149046792,0.31109185441941073,2.2972270363951472
top5__errors__soft__spectral,steps_11_plus,822,0.08880778588807786,0.2615571776155718,5.08029197080292
top5__errors__soft__spectral,error_relative_quarter_1,1314,0.3812785388127854,0.3584474885844749,1.3439878234398783
top5__errors__soft__spectral,error_relative_quarter_2,1290,0.16046511627906976,0.3511627906976744,2.030232558139535
top5__errors__soft__spectral,error_relative_quarter_3,1122,0.1800356506238859,0.3493761140819964,2.8270944741532977
top5__errors__soft__spectral,error_relative_quarter_4,716,0.18435754189944134,0.38966480446927376,4.576815642458101
top5__errors__soft__continuous_lsml,steps_2_to_5,1312,0.3643292682926829,0.5091463414634146,1.0472560975609757
top5__errors__soft__continuous_lsml,steps_6_to_10,2308,0.2019064124783362,0.32365684575389947,2.32105719237435
top5__errors__soft__continuous_lsml,steps_11_plus,822,0.08759124087591241,0.2664233576642336,5.072992700729927
top5__errors__soft__continuous_lsml,error_relative_quarter_1,1314,0.3820395738203957,0.365296803652968,1.2762557077625571
top5__errors__soft__continuous_lsml,error_relative_quarter_2,1290,0.15503875968992248,0.3550387596899225,2.0170542635658917
top5__errors__soft__continuous_lsml,error_relative_quarter_3,1122,0.1711229946524064,0.36541889483065954,2.8823529411764706
top5__errors__soft__continuous_lsml,error_relative_quarter_4,716,0.17039106145251395,0.3994413407821229,4.731843575418995
top5__errors__hard__continuous_lsml,steps_2_to_5,1312,0.25,0.3155487804878049,1.2766768292682926
top5__errors__hard__continuous_lsml,steps_6_to_10,2308,0.09792027729636049,0.18067590987868284,2.6936741767764296
top5__errors__hard__continuous_lsml,steps_11_plus,822,0.06326034063260341,0.19099756690997566,5.2299270072992705
top5__errors__hard__continuous_lsml,error_relative_quarter_1,1314,0.4231354642313546,0.2724505327245053,0.819634703196347
