cell,family,domain,contract,filter,exclude_frac,n_input,n_kept,kept_fraction,dufs_effective_count,weight_cosine_vs_iu
noise_gsm8k_mistral7b,gsm8k,math,mixed_v2,rho_max_over_3,3.0,29,23,0.7931034482758621,17.856330558784485,0.9986661300591604
noise_gsm8k_mistral7b,gsm8k,math,mixed_v2,rho_max_over_2p5,2.5,29,21,0.7241379310344828,17.040156519832127,0.9979467028284271
noise_gsm8k_mistral7b,gsm8k,math,mixed_v2,rho_max_over_2,2.0,29,20,0.6896551724137931,16.892723792402442,0.9989347391686917
noise_gsm8k_mistral7b,gsm8k,math,mixed_v2,rho_max_over_1p5,1.5,29,16,0.5517241379310345,14.593884702759459,0.9993082785467128
noise_gsm8k_phi3mini,gsm8k,math,fixed_stable_v1,full,,25,25,1.0,15.03530446235188,0.9966570415231117
noise_gsm8k_phi3mini,gsm8k,math,fixed_stable_v1,rho_max_over_3,3.0,25,18,0.72,13.43108415075247,0.99679178709105
noise_gsm8k_phi3mini,gsm8k,math,fixed_stable_v1,rho_max_over_2p5,2.5,25,17,0.68,13.938484241171185,0.9978624746808124
noise_gsm8k_phi3mini,gsm8k,math,fixed_stable_v1,rho_max_over_2,2.0,25,16,0.64,12.290023462965184,0.9962862878090032
noise_gsm8k_phi3mini,gsm8k,math,fixed_stable_v1,rho_max_over_1p5,1.5,25,11,0.44,10.356339420673788,0.9999994064217522
noise_gsm8k_phi3mini,gsm8k,math,mixed_v2,full,,29,29,1.0,15.883908423431869,0.9969378537812263
noise_gsm8k_phi3mini,gsm8k,math,mixed_v2,rho_max_over_3,3.0,29,19,0.6551724137931034,14.74784017078621,0.9976866292509323
noise_gsm8k_phi3mini,gsm8k,math,mixed_v2,rho_max_over_2p5,2.5,29,18,0.6206896551724138,13.43108415075247,0.9967917870910501
noise_gsm8k_phi3mini,gsm8k,math,mixed_v2,rho_max_over_2,2.0,29,16,0.5517241379310345,12.290023462965184,0.9962862878090032
noise_gsm8k_phi3mini,gsm8k,math,mixed_v2,rho_max_over_1p5,1.5,29,12,0.41379310344827586,11.404277570887833,0.999296958146584
math500_dsmath7b,math500,math,fixed_stable_v1,full,,26,26,1.0,17.47519083346104,0.9990167430233056
math500_dsmath7b,math500,math,fixed_stable_v1,rho_max_over_3,3.0,26,21,0.8076923076923077,16.26995573693188,0.9989736462380299
math500_dsmath7b,math500,math,fixed_stable_v1,rho_max_over_2p5,2.5,26,21,0.8076923076923077,16.26995573693188,0.9989736462380299
math500_dsmath7b,math500,math,fixed_stable_v1,rho_max_over_2,2.0,26,19,0.7307692307692307,15.966233602301312,0.9996119388245319
math500_dsmath7b,math500,math,fixed_stable_v1,rho_max_over_1p5,1.5,26,15,0.5769230769230769,13.938906311992415,0.9999870344375246
math500_dsmath7b,math500,math,mixed_v2,full,,30,30,1.0,16.50960379627462,0.9981830438946494
math500_dsmath7b,math500,math,mixed_v2,rho_max_over_3,3.0,30,22,0.7333333333333333,17.049518166646212,0.9990267896427585
math500_dsmath7b,math500,math,mixed_v2,rho_max_over_2p5,2.5,30,22,0.7333333333333333,17.049518166646212,0.9990267896427585
math500_dsmath7b,math500,math,mixed_v2,rho_max_over_2,2.0,30,19,0.6333333333333333,15.966233602301312,0.9996119388245317
math500_dsmath7b,math500,math,mixed_v2,rho_max_over_1p5,1.5,30,17,0.5666666666666667,15.4012855644035,0.9999101817760981
math500_qwenmath7b,math500,math,fixed_stable_v1,full,,24,24,1.0,21.030989765782074,0.9989159888114131
