locator,variant,scope,n_clean,n_erroneous,argmax_sla,argmax_early,argmax_late,false_alarm_budget,false_alarm,theta,detected,exact,early_stop,no_stop,mean_delay_steps,median_delay_steps,mean_delay_tokens
token_lsml,offline,steps_6_to_10,1124,2308,0.31802426343154244,0.22616984402079723,0.4558058925476603,0.05,0.023131672597864767,2.0757280053704514,0.029896013864818025,0.014298093587521665,0.004332755632582322,0.9657712305025996,1.8695652173913044,1.0,165.31884057971016
token_lsml,offline,steps_6_to_10,1124,2308,0.31802426343154244,0.22616984402079723,0.4558058925476603,0.1,0.07028469750889679,1.9074790916232125,0.05805892547660312,0.025996533795493933,0.00996533795493934,0.9319757365684576,1.8955223880597014,1.0,184.7462686567164
token_lsml,offline,steps_6_to_10,1124,2308,0.31802426343154244,0.22616984402079723,0.4558058925476603,0.2,0.19750889679715303,1.6885009281181984,0.14861351819757365,0.07062391681109186,0.02512998266897747,0.8262564991334489,1.6151603498542273,1.0,165.21574344023324
token_lsml,offline,steps_6_to_10,1124,2308,0.31802426343154244,0.22616984402079723,0.4558058925476603,0.3,0.27846975088967973,1.6115203992581189,0.19930675909878684,0.09402079722703639,0.03596187175043328,0.7647313691507799,1.6043478260869566,1.0,161.58478260869566
token_lsml,offline,steps_11_plus,284,822,0.20802919708029197,0.25547445255474455,0.5364963503649635,0.2,0.13732394366197184,2.0757280053704514,0.10218978102189781,0.045012165450121655,0.0267639902676399,0.8710462287104623,4.285714285714286,1.0,297.0357142857143
token_lsml,offline,steps_11_plus,284,822,0.20802919708029197,0.25547445255474455,0.5364963503649635,0.3,0.25704225352112675,1.9074790916232125,0.1654501216545012,0.06447688564476886,0.046228710462287104,0.7883211678832117,4.3088235294117645,2.0,300.3897058823529
token_lsml,offline,cell=pb_gsm8k_q4,193,207,0.4782608695652174,0.2028985507246377,0.3188405797101449,0.05,0.046632124352331605,1.8089202053968472,0.06280193236714976,0.03864734299516908,0.004830917874396135,0.9323671497584541,1.6923076923076923,0.0,127.38461538461539
token_lsml,offline,cell=pb_gsm8k_q4,193,207,0.4782608695652174,0.2028985507246377,0.3188405797101449,0.1,0.07253886010362694,1.6885009281181984,0.1111111111111111,0.06763285024154589,0.004830917874396135,0.8840579710144928,1.565217391304348,0.0,124.47826086956522
token_lsml,offline,cell=pb_gsm8k_q4,193,207,0.4782608695652174,0.2028985507246377,0.3188405797101449,0.2,0.19170984455958548,1.5377628894804842,0.20772946859903382,0.10628019323671498,0.01932367149758454,0.7729468599033816,1.6511627906976745,0.0,108.81395348837209
token_lsml,offline,cell=pb_gsm8k_q4,193,207,0.4782608695652174,0.2028985507246377,0.3188405797101449,0.3,0.29015544041450775,1.4481191242156206,0.28019323671497587,0.1497584541062802,0.03864734299516908,0.6811594202898551,1.3793103448275863,0.0,92.15517241379311
token_lsml,offline,cell=pb_gsm8k_q8,193,207,0.4975845410628019,0.17391304347826086,0.3285024154589372,0.05,0.046632124352331605,1.6885009281181984,0.08695652173913043,0.043478260869565216,0.01932367149758454,0.893719806763285,1.7777777777777777,0.5,115.5
token_lsml,offline,cell=pb_gsm8k_q8,193,207,0.4975845410628019,0.17391304347826086,0.3285024154589372,0.1,0.08808290155440414,1.6471053896901047,0.1111111111111111,0.04830917874396135,0.01932367149758454,0.8695652173913043,1.7391304347826086,1.0,108.0
token_lsml,offline,cell=pb_gsm8k_q8,193,207,0.4975845410628019,0.17391304347826086,0.3285024154589372,0.2,0.19170984455958548,1.4755865623357813,0.28502415458937197,0.14492753623188406,0.04830917874396135,0.6666666666666666,1.3220338983050848,0.0,85.23728813559322
token_lsml,offline,cell=pb_gsm8k_q8,193,207,0.4975845410628019,0.17391304347826086,0.3285024154589372,0.3,0.2849740932642487,1.3997766088616928,0.3864734299516908,0.21739130434782608,0.057971014492753624,0.5555555555555556,1.15,0.0,73.0875
token_lsml,offline,cell=pb_math_q4,406,594,0.3484848484848485,0.21548821548821548,0.43602693602693604,0.05,0.027093596059113302,2.0757280053704514,0.026936026936026935,0.010101010101010102,0.008417508417508417,0.9646464646464646,3.625,1.5,224.5625
token_lsml,offline,cell=pb_math_q4,406,594,0.3484848484848485,0.21548821548821548,0.43602693602693604,0.1,0.0960591133004926,1.8089202053968472,0.0723905723905724,0.030303030303030304,0.018518518518518517,0.9090909090909091,2.441860465116279,1.0,175.02325581395348
token_lsml,offline,cell=pb_math_q4,406,594,0.3484848484848485,0.21548821548821548,0.43602693602693604,0.2,0.19950738916256158,1.6471053896901047,0.16161616161616163,0.07575757575757576,0.03872053872053872,0.7996632996632996,2.0833333333333335,1.0,172.72916666666666
token_lsml,offline,cell=pb_math_q4,406,594,0.3484848484848485,0.21548821548821548,0.43602693602693604,0.3,0.26354679802955666,1.5742158925739331,0.20875420875420875,0.08754208754208755,0.05555555555555555,0.7356902356902357,2.129032258064516,1.0,181.28225806451613
token_lsml,offline,cell=pb_math_q8,406,594,0.31986531986531985,0.18181818181818182,0.4983164983164983,0.05,0.019704433497536946,2.0757280053704514,0.02356902356902357,0.010101010101010102,0.010101010101010102,0.9663299663299664,3.5714285714285716,1.5,229.42857142857142
token_lsml,offline,cell=pb_math_q8,406,594,0.31986531986531985,0.18181818181818182,0.4983164983164983,0.1,0.07389162561576355,1.9074790916232125,0.04208754208754209,0.015151515151515152,0.013468013468013467,0.9444444444444444,3.6,2.0,238.64
token_lsml,offline,cell=pb_math_q8,406,594,0.31986531986531985,0.18181818181818182,0.4983164983164983,0.2,0.1921182266009852,1.6471053896901047,0.17676767676767677,0.0707070707070707,0.04208754208754209,0.7811447811447811,2.5428571428571427,2.0,224.42857142857142
token_lsml,offline,cell=pb_math_q8,406,594,0.31986531986531985,0.18181818181818182,0.4983164983164983,0.3,0.2660098522167488,1.5742158925739331,0.23232323232323232,0.09595959595959595,0.05555555555555555,0.7121212121212122,2.3260869565217392,1.0,202.93478260869566
token_lsml,offline,cell=pb_olympiadbench_q4,339,661,0.30559757942511345,0.3071104387291982,0.38729198184568836,0.05,0.0471976401179941,2.0757280053704514,0.0453857791225416,0.019667170953101363,0.01059001512859304,0.9440242057488654,3.7666666666666666,3.0,292.3333333333333
token_lsml,offline,cell=pb_olympiadbench_q4,339,661,0.30559757942511345,0.3071104387291982,0.38729198184568836,0.1,0.08849557522123894,1.9074790916232125,0.0832072617246596,0.037821482602118005,0.019667170953101363,0.897125567322239,3.2545454545454544,1.0,262.72727272727275
