cell,feature,n,weak_cell,stability,sign_correct,oracle_single_auroc,abs_rho,headroom_pp,is_candidate
losnet_hotpotqa_mistral7b,epr,500,True,1.0,1,0.5598419707181036,0.17663325085158058,,
losnet_hotpotqa_mistral7b,trace_length,500,True,1.0,1,0.5722572802517026,0.16872521573664026,,
losnet_hotpotqa_mistral7b,spectral_entropy,500,True,1.0,1,0.5748225745901785,0.15460749971461868,,
losnet_hotpotqa_mistral7b,low_band_power,500,True,1.0,1,0.5000983213857952,0.04088428953367833,,
losnet_hotpotqa_mistral7b,high_band_power,500,True,0.994,0,0.5189939040740806,0.033644355332031986,,
losnet_hotpotqa_mistral7b,hl_ratio,500,True,1.0,0,0.5079997854806129,0.06674760680100178,,
losnet_hotpotqa_mistral7b,dominant_freq,500,True,1.0,1,0.5325890702372227,0.06549199970673308,,
losnet_hotpotqa_mistral7b,spectral_centroid,500,True,1.0,1,0.5044065857451867,0.08994839132076748,,
losnet_hotpotqa_mistral7b,stft_max_high_power,500,True,1.0,1,0.5709791022363646,0.08373791221275324,,
losnet_hotpotqa_mistral7b,stft_spectral_entropy,500,True,0.984,0,0.5346359427233236,0.02621080133137296,,
losnet_hotpotqa_mistral7b,rpdi,500,True,0.804,0,0.5009385223189546,0.00983320543815944,5.62,1
